Latitude	longitude	
8.623	-77.125	Paniagua-Arroyave_NW_South_America
8.88	-76.425	Paniagua-Arroyave_NW_South_America
9.528	-75.635	Paniagua-Arroyave_NW_South_America
10.512	-75.514	Paniagua-Arroyave_NW_South_America
11.235	-74.925	Paniagua-Arroyave_NW_South_America
11.572	-72.923	Paniagua-Arroyave_NW_South_America
12.375	-71.9	Paniagua-Arroyave_NW_South_America
1.668	-79.131	Paniagua-Arroyave_NW_South_America
2.776	-78.717	Paniagua-Arroyave_NW_South_America
3.265	-77.61	Paniagua-Arroyave_NW_South_America
4.038	-77.66	Paniagua-Arroyave_NW_South_America
5.314	-77.441	Paniagua-Arroyave_NW_South_America
6	-77.4	Paniagua-Arroyave_NW_South_America
6.342	-77.447	Paniagua-Arroyave_NW_South_America
7.067	-77.793	Paniagua-Arroyave_NW_South_America
14.63	-61	Khan_2017_Caribbean
18.18	-63.11	Khan_2017_Caribbean
18.16	-63.15	Khan_2017_Caribbean
18.16	-63.15	Khan_2017_Caribbean
18.16	-63.15	Khan_2017_Caribbean
17.07	-61.8	Khan_2017_Caribbean
14.63	-61	Khan_2017_Caribbean
18.18	-63.11	Khan_2017_Caribbean
14.63	-61	Khan_2017_Caribbean
17.56	-61.76	Khan_2017_Caribbean
14.63	-61	Khan_2017_Caribbean
14.63	-61	Khan_2017_Caribbean
17.56	-61.76	Khan_2017_Caribbean
17.56	-61.76	Khan_2017_Caribbean
17.56	-61.76	Khan_2017_Caribbean
17.07	-61.8	Khan_2017_Caribbean
17.56	-61.76	Khan_2017_Caribbean
17.56	-61.76	Khan_2017_Caribbean
22.5	-73.87	Khan_2017_Caribbean
23.78	-76.11	Khan_2017_Caribbean
23.96	-74.48	Khan_2017_Caribbean
22.5	-73.87	Khan_2017_Caribbean
22.5	-73.87	Khan_2017_Caribbean
22.63	-73.87	Khan_2017_Caribbean
22.5	-73.87	Khan_2017_Caribbean
23.96	-74.48	Khan_2017_Caribbean
23.76	-76.08	Khan_2017_Caribbean
23.76	-76.08	Khan_2017_Caribbean
23.76	-76.08	Khan_2017_Caribbean
22.63	-73.87	Khan_2017_Caribbean
23.78	-76.11	Khan_2017_Caribbean
23.96	-74.48	Khan_2017_Caribbean
22.63	-73.87	Khan_2017_Caribbean
23.76	-76.08	Khan_2017_Caribbean
23.96	-74.48	Khan_2017_Caribbean
23.96	-74.48	Khan_2017_Caribbean
26.61	-77.11	Khan_2017_Caribbean
22.63	-73.87	Khan_2017_Caribbean
26.61	-77.11	Khan_2017_Caribbean
23.96	-74.48	Khan_2017_Caribbean
22.63	-73.87	Khan_2017_Caribbean
23.96	-74.48	Khan_2017_Caribbean
26.61	-77.11	Khan_2017_Caribbean
22.63	-73.87	Khan_2017_Caribbean
23.96	-74.48	Khan_2017_Caribbean
23.96	-74.48	Khan_2017_Caribbean
26.61	-77.11	Khan_2017_Caribbean
23.96	-74.48	Khan_2017_Caribbean
23.96	-74.48	Khan_2017_Caribbean
26.61	-77.11	Khan_2017_Caribbean
23.96	-74.48	Khan_2017_Caribbean
13.04	-59.51	Khan_2017_Caribbean
13.04	-59.51	Khan_2017_Caribbean
13.07	-59.58	Khan_2017_Caribbean
13.07	-59.58	Khan_2017_Caribbean
