MapNo	Lon	Lat	DeltaR	DeltaRErr	Reference	Locality
3	10.67	79.57	-9	45	Mangerud, J :1975	Magdalenafj, Spitsbergen
4	14	79.5	-73	70	Mangerud, J,:1972	Tangen, Mushamna, Spitsbergen
5	15.6	78.25	-22	50	Mangerud, J :1975	Adventbukta, Spitsbergen
6	14.13	78.12	-87	37	Mangerud, J :1975	Isfjorden, Spitsbergen
7	15	77.67	-65	37	Mangerud, J :1975	Bellsund, Spitsbergen
8	19.07	74.12	-92	34	Mangerud, J :1975	Near Bear Island
9	-74.92	78.75	75	70	Coulthard RD:2010	Rice Strait, Smith Sound
10	-89	76.75	227	70	Coulthard RD:2010	Goose Bay, Jones Sound
11	-84.5	76.5	106	70	Coulthard RD:2010	Havnefjorden, Jones Sound
20	-19.27	74.38	-23	38	Håkansson S:1973	S of L. Penduluisoen and SE of Clavering
21	-21.5	73.47	37	47	Håkansson S:1973	Mackenziebugt, NE Greenland
22	-21.5	73.47	7	54	Håkansson S:1973	Mackenziebugt, NE Greenland
23	-22.55	70.83	27	39	Håkansson S:1973	Fame Qer, Scoresby Sund, NE Greenland
25	-24.08	69.42	-20	70	Tauber, H an:1975	Kap Dalton
26	-22.23	70.45	31	70	Tauber, H an:1975	Kap Hope
27	-22.48	70.82	-116	70	Tauber, H an:1975	Hurry Inlet
28	-25.28	71.13	-165	70	Tauber, H an:1975	Bjorneoerne
29	-26.23	70.45	-119	40	Tauber, H an:1975	Hekla Havn
30	-27.13	70.47	-51	70	Tauber, H an:1975	Hekla Havn
31	-18.73	76.75	3	60	Funder, S, 1:1982	Danmarkshavn (depth up to ten fathoms)
32	-69	41	-43	22	Weidman, C R:1993	Georges Bank, Nova Scotia (76 m)
33	-55	45	-39	24	Campana, S E:1997	Canadian East Coast
34	-51.75	64.2	-31	84	Olsson, I U,:1980	Godthab, Greenland
35	-51.13	69.22	-192	99	Olsson, I U,:1980	Jacobshavn, Greenland
36	-53.5	69.25	-257	98	Olsson, I U,:1980	Disco, Greenland
37	-52	69.68	-81	84	Olsson, I U,:1980	Mudderbugten, Disco, Greenland
38	-54.73	72.37	-187	46	Mörner, N.-:1990	Proven harvour
39	-56.17	72.78	-167	46	Mörner, N.-:1990	Upernavik
40	-68.8	76.57	-170	59	Mörner, N.-:1990	Thule
55	29.75	70.07	-107	36	Mangerud, J :1975	Vadso, Finnmark, N Norway
56	18.3	69.65	-100	37	Mangerud, J :1975	Tromso, Troms, N Norway
57	-22	64	-60	51	Broecker, W :1961	Faxa Bay, Kollafjord, Iceland
58	-22	64	18	51	Broecker, W :1961	Faxa Bay, Kollafjord, Iceland
59	-22	64	57	51	Broecker, W :1961	Faxa Bay, Kollafjord, Iceland
60	-22	65.17	-108	35	Håkansson S:1984	Reykajavik, SW Iceland (3 m)
61	-14.25	64.67	-135	41	Håkansson S:1984	Djupivogur, E. Iceland (6 m)
62	-14	65.28	-124	41	Håkansson S:1984	Seydisfjordur, E. Iceland (40 m)
63	-22.5	64.33	-134	35	Håkansson S:1984	Faxafloi, SW Iceland (33m)
64	-22.2	64.12	-103	42	Håkansson S:1984	Faxafloi, SW Iceland (48 m)
65	-17.5	66	-164	34	Håkansson S:1984	Skjalfani, N. Iceland (22 m)
66	-22	64.33	-220	85	Olsson, I U,:1980	Faxe Bugt, Iceland
67	-15.32	66.25	-12	84	Olsson, I U,:1980	Thorshofn, Iceland
68	-7.33	62.07	-138	99	Olsson, I U,:1980	Sorvag, Vago, Faroe Islands
69	2.58	60.63	-140	35	Mangerud, J :1975	Vikingbank, North Sea
70	5	60.57	-180	59	Mangerud, J,:1972	Ideosen, Herdla, Hordaland, Norway
71	6.28	60.3	-83	58	Mangerud, J,:1972	Sollesnes, Jondal, Hardanger, Norway (20
72	5.4	59.7	-208	85	Mangerud, J,:1972	Mosterhavn, Hordaland, Norway
73	6	54	-189	33	Weidman, C R:1995	German Bight
74	6	54	-71	105	Weidman, C R:1995	German Bight
75	6	54	92	116	Weidman, C R:1995	German Bight
76	9.3	58.73	-228	57	Mangerud, J,:1972	Gronholmsund, Risor, Aust-Agder, Norway
