latitude	longitude	region	gia_region	location	lab_id	indicator_type
57.38	-94.2	North_America_Arctic	Hudson_Bay	Churchill	AECV-1715C	terrestrial_limiting
58.74	-94.08	North_America_Arctic	Hudson_Bay	Churchill	GSC-1549	marine_limiting
59.3	-95.38	North_America_Arctic	Hudson_Bay	Churchill	GSC-2579	marine_limiting
58.74	-94.08	North_America_Arctic	Hudson_Bay	Churchill	GSC-261	marine_limiting
58.55	-95.83	North_America_Arctic	Hudson_Bay	Churchill	GSC-3070	marine_limiting
58.89	-94.97	North_America_Arctic	Hudson_Bay	Churchill	GSC-3851	marine_limiting
58.22	-93.85	North_America_Arctic	Hudson_Bay	Churchill	GSC-3988	terrestrial_limiting
58.75	-93.84	North_America_Arctic	Hudson_Bay	Churchill	GSC-682	index_point
58.7	-93.84	North_America_Arctic	Hudson_Bay	Churchill	GSC-683	index_point
58.75	-94.25	North_America_Arctic	Hudson_Bay	Churchill	BETA-214174	terrestrial_limiting
58.76	-93.95	North_America_Arctic	Hudson_Bay	Churchill	GSC-684	index_point
58.76	-93.98	North_America_Arctic	Hudson_Bay	Churchill	GSC-723	index_point
58.18	-95.05	North_America_Arctic	Hudson_Bay	Churchill	GSC-92	marine_limiting
58.71	-94.28	North_America_Arctic	Hudson_Bay	Churchill	GX-1065	index_point
58.61	-93.66	North_America_Arctic	Hudson_Bay	Churchill	GX-1072	marine_limiting
58.75	-93.35	North_America_Arctic	Hudson_Bay	Churchill	GX-1073	marine_limiting
58.75	-94.25	North_America_Arctic	Hudson_Bay	Churchill	I-3973	terrestrial_limiting
58.75	-94.25	North_America_Arctic	Hudson_Bay	Churchill	S-521	terrestrial_limiting
58.75	-94.25	North_America_Arctic	Hudson_Bay	Churchill	S-738	marine_limiting
58.62	-93.81	North_America_Arctic	Hudson_Bay	Churchill	GSC-685	index_point
58.75	-94.25	North_America_Arctic	Hudson_Bay	Churchill	BETA-214172	terrestrial_limiting
58.1	-94.7	North_America_Arctic	Hudson_Bay	Churchill	GX-1063	marine_limiting
57.8	-94.21	North_America_Arctic	Hudson_Bay	Churchill	AECV-1718C	terrestrial_limiting
53.54	-78.15	North_America_Arctic	Hudson_Bay	East_James_Bay	QU-124	marine_limiting
53.88	-78.84	North_America_Arctic	Hudson_Bay	East_James_Bay	BETA-180468	terrestrial_limiting
53.69	-78.63	North_America_Arctic	Hudson_Bay	East_James_Bay	QU-119	marine_limiting
53.76	-78.94	North_America_Arctic	Hudson_Bay	East_James_Bay	QU-121	marine_limiting
53.66	-77.97	North_America_Arctic	Hudson_Bay	East_James_Bay	QU-122	marine_limiting
53.69	-78.63	North_America_Arctic	Hudson_Bay	East_James_Bay	QU-245	marine_limiting
53.69	-78.29	North_America_Arctic	Hudson_Bay	East_James_Bay	GSC-2244	marine_limiting
