Region	Dating_Method	LAB_ID	Latitude	Longitude	age	error	Material	Curve	Reservoir_age	Reservoir_error	type	RSL	RSL_2sigma_upper	RSL_2sigma_lower	Reference
Rauer_Group	radiocarbon	KIA37742	-68.825	77.773	890	25	humic acid of bulk organic matter	marine	500	0	-1	-4	0.4	0.4	IshiwaEtal2021,BergEtal2010b
Rauer_Group	radiocarbon	KIA34076	-68.801	77.89	920	80	humic acid free of bulk organic matter	marine	500	0	-1	-12	2.4000000000000004	2.4000000000000004	IshiwaEtal2021,BergEtal2010b
Rauer_Group	radiocarbon	KIA37742	-68.825	77.773	985	30	humic acid free of bulk organic matter	marine	500	0	-1	-4	0.4	0.4	IshiwaEtal2021,BergEtal2010b
Rauer_Group	radiocarbon	KIA38366	-68.833	77.927	1000	25	humic acid free of bulk organic matter	marine	500	0	-1	-2	1	1	IshiwaEtal2021,BergEtal2010a
Rauer_Group	radiocarbon	COL2092	-68.811	77.868	1320	35	humins	terrestrial_sh			1	11.5	2.3000000000000003	2.3000000000000003	IshiwaEtal2021,BergEtal2016
Rauer_Group	radiocarbon	KIA38367	-68.833	77.927	1815	30	humic acid free of bulk organic matter	marine	500	0	-1	-2	1	1	IshiwaEtal2021,BergEtal2010a
Rauer_Group	radiocarbon	KIA35015	-68.801	77.89	2335	35	humic acid free of bulk organic matter	marine	500	0	-1	-12	2.4000000000000004	2.4000000000000004	IshiwaEtal2021,BergEtal2010b
Rauer_Group	radiocarbon	KIA38368	-68.833	77.927	2785	30	humic acid free of bulk organic matter	marine	500	0	-1	-2	1	1	IshiwaEtal2021,BergEtal2010a
Rauer_Group	radiocarbon	KIA37743	-68.825	77.773	3370	30	humic acid of bulk organic matter	marine	500	0	-1	-4	0.4	0.4	IshiwaEtal2021,BergEtal2010b
Rauer_Group	radiocarbon	KIA35016	-68.801	77.89	4230	70	humic acid free of bulk organic matter	marine	500	0	-1	-12	2.4000000000000004	2.4000000000000004	IshiwaEtal2021,BergEtal2010b
Rauer_Group	radiocarbon	KIA38366	-68.833	77.927	5000	35	humic acid free of bulk organic matter	marine	500	0	-1	-2	1	1	IshiwaEtal2021,BergEtal2010a
