Region	Dating_Method	LAB_ID	Latitude	Longitude	age	error	Material	Curve	Reservoir_age	Reservoir_error	type	RSL	RSL_2sigma_upper	RSL_2sigma_lower	Reference	facies	indicative meaning	Core Name	water depth (m)	Depth in core (cm)	elevation
Bonaparte_Gulf	radiocarbon	ANUA-7516	-12.16	127.97	11810	130	bivalve	marine	0	0	0	-120.37	7.5	7.5	YokoyamaEtal2000	shallow marine	> -10 m	GC 3	127	87	-127.87
Bonaparte_Gulf	radiocarbon	ANUA-9304	-12.16	127.97	24100	230	bivalve	marine	0	0	0	-120.80000000000001	7.5	7.5	YokoyamaEtal2000	shallow marine	> -10 m	GC 3	127	130	-128.3
Bonaparte_Gulf	radiocarbon	ANUA-9506	-12.16	127.97	24750	440	bivalve	marine	0	0	0	-121.1	7.5	7.5	YokoyamaEtal2000	shallow marine	> -10 m	GC 3	127	160	-128.6
Bonaparte_Gulf	radiocarbon	YAUT-004005	-13.17	129.27	11320	40	Peat	terrestrial_sh	0	0	0	-60.400000000000006	7.5	7.5	IshiwaEtal2019	intertidal	> 15 m	KH11-1-GC19	67	90	-67.9
Bonaparte_Gulf	radiocarbon	YAUT-004006	-13.17	129.27	11570	40	Peat	terrestrial_sh	0	0	0	-60.480000000000004	7.5	7.5	IshiwaEtal2019	intertidal	> 15 m	KH11-1-GC19	67	98	-67.98
Bonaparte_Gulf	radiocarbon	YAUT-003905	-13.17	129.27	11670	40	unknown macrofossil	marine	0	0	0	-60.34	7.5	7.5	IshiwaEtal2019	intertidal	> 15 m	KH11-1-GC19	67	84	-67.84
Bonaparte_Gulf	radiocarbon	YAUT-002119	-12.76	128.87	12930	150	Placamen gravescens	marine	0	0	0	-80.84	7.5	7.5	IshiwaEtal2019	intertidal	> 15 m	KH11-1-GC14	88	34	-88.34
Bonaparte_Gulf	radiocarbon	B274-C120806-4	-12.67	128.78	14370	80	Semicassis bisulcata	marine	0	0	0	-89.25	7.5	7.5	IshiwaEtal2019	intertidal	> 15 m	KH11-1-GC13	96	75	-96.75
Bonaparte_Gulf	radiocarbon	B274-C120806-3	-12.67	128.78	14380	90	unknown macrofossil	marine	0	0	0	-90.14	7.5	7.5	IshiwaEtal2019	intertidal	> 15 m	KH11-1-GC13	96	164	-97.64
Bonaparte_Gulf	radiocarbon	YAUT-001729	-12.18	128.03	15880	80	Spisula sp.	marine	0	0	0	-113.2	7.5	7.5	IshiwaEtal2019	lagoon/estuary	> 15 m	KH11-1-GC06	120	70	-120.7
Bonaparte_Gulf	radiocarbon	YAUT-000828	-12.18	128.03	16040	100	Spisula sp.	marine	0	0	0	-113.82	7.5	7.5	IshiwaEtal2019	lagoon/estuary	> 15 m	KH11-1-GC06	120	132	-121.32
Bonaparte_Gulf	radiocarbon	YAUT-028832	-12.18	128.03	16060	60	Benthic foraminifera	marine	0	0	0	-113.36	7.5	7.5	IshiwaEtal2019	lagoon/estuary	> 15 m	KH11-1-GC06	120	86	-120.86
Bonaparte_Gulf	radiocarbon	YAUT-001730	-12.18	128.03	16210	170	Spisula sp.	marine	0	0	0	-113.24	7.5	7.5	IshiwaEtal2019	lagoon/estuary	> 15 m	KH11-1-GC06	120	74	-120.74
Bonaparte_Gulf	radiocarbon	YAUT-000818	-12.18	128.03	16250	100	Spisula sp.	marine	0	0	0	-114.19	7.5	7.5	IshiwaEtal2019	lagoon/estuary	> 15 m	KH11-1-GC06	120	169	-121.69
