Region	Dating_Method	LAB_ID	Latitude	Longitude	age	error	Material	Curve	Reservoir_age	Reservoir_error	type	RSL	RSL_2sigma_upper	RSL_2sigma_lower	Reference
Barbados	U-Th	RGF_8-11-2002	13.04	-59.55	9003	8	A. palmata	U-Th	0	0	0	-22.6	2.2	2.2	AbdulEtal2016
Barbados	U-Th	RGF_8-13-2002	13.04	-59.55	9016	28	A. palmata	U-Th	0	0	0	-24.3	2.2	2.2	AbdulEtal2016
Barbados	U-Th	RGF_8-13-2004	13.04	-59.55	9104	5	A. palmata	U-Th	0	0	0	-23.7	2.2	2.2	AbdulEtal2016
Barbados	U-Th	RGF_8-13-2006	13.04	-59.55	9352	18	A. palmata	U-Th	0	0	0	-26.2	2.2	2.2	AbdulEtal2016
Barbados	U-Th	RGF_8-14-2003	13.04	-59.55	9455	22	A. palmata	U-Th	0	0	0	-27.3	2.2	2.2	AbdulEtal2016
Barbados	U-Th	RGF_8-17-2005	13.04	-59.55	9593	17	A. palmata	U-Th	0	0	0	-29.799999999999997	2.2	2.2	AbdulEtal2016
Barbados	U-Th	RGF_8-18-2005	13.04	-59.55	9645	9	A. palmata	U-Th	0	0	0	-30.6	2.2	2.2	AbdulEtal2016
Barbados	U-Th	RGF_8-19-2002	13.04	-59.55	9650	26	A. palmata	U-Th	0	0	0	-29.700000000000003	2.2	2.2	AbdulEtal2016
Barbados	U-Th	RGF_8-19-2005	13.04	-59.55	9679	30	A. palmata	U-Th	0	0	0	-30.1	2.2	2.2	AbdulEtal2016
Barbados	U-Th	RGF_8-19-2006	13.04	-59.55	9716	10	A. palmata	U-Th	0	0	0	-28.6	2.2	2.2	AbdulEtal2016
Barbados	U-Th	RGF_8-20-2003	13.04	-59.55	9722	21	A. palmata	U-Th	0	0	0	-30.299999999999997	2.2	2.2	AbdulEtal2016
Barbados	U-Th	RGF_8-20-2004	13.04	-59.55	10281	11	A. palmata	U-Th	0	0	0	-33.9	2.2	2.2	AbdulEtal2016
Barbados	U-Th	RGF_8-20-2006	13.04	-59.55	10339	7	A. palmata	U-Th	0	0	0	-34.4	2.2	2.2	AbdulEtal2016
Barbados	U-Th	RGF_8-20-2008	13.04	-59.55	10430	37	A. palmata	U-Th	0	0	0	-36.9	2.2	2.2	AbdulEtal2016
