CAMS-17314	34.78	129.18	17868	274	-1.0	-161.4	1.0	1.0	ParkEtal2000
CAMS-25793	34.78	129.18	24815	372	0.0	-95.5	5.5	5.5	ParkEtal2000
CAMS-25794	34.78	129.18	9061	224	-1.0	-117.2	1.0	1.0	ParkEtal2000
CAMS-25795	34.78	129.18	7580	162	0.0	-67.5	5.5	5.5	ParkEtal2000
CAMS-25797	34.78	129.18	4845	234	0.0	-71.5	6.5	6.5	ParkEtal2000
CAMS-25798	34.78	129.18	9556	202	0.0	-101.5	6.5	6.5	ParkEtal2000
CAMS-25799	34.78	129.18	9233	200	0.0	-89.0	6.0	6.0	ParkEtal2000
84-B-03	35.03	129.45	17463	432	0.0	-127.0	6.0	6.0	ParkEtal2000
KIGAM-26	34.78	129.18	21356	741	-1.0	-110.8	1.0	1.0	ParkEtal2000
I-16500	34.78	129.18	18888	607	-1.0	-121.1	1.0	1.0	ParkEtal2000
KIGAM-27	34.78	129.18	9242	1594	-1.0	-102.0	1.0	1.0	ParkEtal2000
