Region	Dating_Method	LAB_ID	Latitude	Longitude	age	error	Material	Curve	Reservoir_age	Reservoir_error	type	RSL	RSL_2sigma_upper	RSL_2sigma_lower	Reference
Dvina_Gulf	radiocarbon	Tin-126	64.54	40.53	9115	171.63	peat	terrestrial	0	0	1	-17.7	1.0646788248105623	1.0041040782707737	Koshechkin1979
Dvina_Gulf	radiocarbon	Tin-125	64.54	40.54	8370	171.63	peat	terrestrial	0	0	1	-17.7	1.0646788248105623	1.0041040782707737	Koshechkin1979
Dvina_Gulf	radiocarbon	GIN-14007	64.44	39.79	8610	151.85	peaty silt	terrestrial	0	0	1	11.825	2.501144737915021	2.501144737915021	ZaretskayaEtal2011
Dvina_Gulf	radiocarbon	GIN-14158	64.47	39.65	9070	151.85	peaty silt	terrestrial	0	0	1	10.65	2.500519945931246	2.500519945931246	ZaretskayaEtal2011
Dvina_Gulf	radiocarbon	GIN-14157	64.48	39.59	4870	145.11	peaty silt	terrestrial	0	0	1	24.45	2.512986271351278	2.512986271351278	ZaretskayaEtal2011
Dvina_Gulf	radiocarbon	GIN-14004	64.48	39.77	1960	148.18	peat	terrestrial	0	0	0	1.35	2.899008265338338	2.899008265338338	ZaretskayaEtal2011
Dvina_Gulf	radiocarbon	GIN-14014	64.48	39.77	3530	145.11	peat	terrestrial	0	0	0	0.75	2.899008265338338	2.899008265338338	ZaretskayaEtal2011
Dvina_Gulf	radiocarbon	GIN-14273	64.49	39.9	4040	145.11	peat	terrestrial	0	0	0	-0.44999999999999996	2.899008265338338	2.899008265338338	ZaretskayaEtal2011
Dvina_Gulf	radiocarbon	GIN-14156	64.5	39.65	3490	145.11	Sphagnum peat	terrestrial	0	0	0	2.6	2.899008265338338	2.899008265338338	ZaretskayaEtal2011
Dvina_Gulf	radiocarbon	GIN-14005	64.5	39.75	1310	145.11	peat	terrestrial	0	0	0	1.35	2.899008265338338	2.899008265338338	ZaretskayaEtal2011
Dvina_Gulf	radiocarbon	GIN-14272	64.5	39.89	2990	156.07	peat	terrestrial	0	0	0	-1.25	2.899008265338338	2.899008265338338	ZaretskayaEtal2011
Dvina_Gulf	radiocarbon	GIN-14155	64.51	39.63	3370	145.11	Phragmites peat	terrestrial	0	0	0	2.025	2.89868486084638	2.89868486084638	ZaretskayaEtal2011
Dvina_Gulf	radiocarbon	GIN-14154	64.51	39.64	2900	145.11	peat (lagoon deposits)	terrestrial	0	0	-1	1.55	2.500519945931246	2.500519945931246	ZaretskayaEtal2011
Dvina_Gulf	radiocarbon	GIN-14271	64.51	39.91	3570	145.11	peat	terrestrial	0	0	0	-2.35	2.899008265338338	2.899008265338338	ZaretskayaEtal2011
Dvina_Gulf	radiocarbon	GIN-13381	64.51	39.97	4570	142.68	peat	terrestrial	0	0	0	-1.25	2.899008265338338	2.899008265338338	ZaretskayaEtal2011
Dvina_Gulf	radiocarbon	GIN-14161	64.52	39.64	1760	156.07	peat	terrestrial	0	0	0	0.25	2.899008265338338	2.899008265338338	ZaretskayaEtal2011
Dvina_Gulf	radiocarbon	GIN-14159	64.52	40.07	4950	148.18	peat	terrestrial	0	0	0	0.6000000000000001	2.899008265338338	2.899008265338338	ZaretskayaEtal2011
Dvina_Gulf	radiocarbon	GIN-14149	64.53	39.65	1000	151.85	peat	terrestrial	0	0	0	0.75	2.899008265338338	2.899008265338338	ZaretskayaEtal2011
Dvina_Gulf	radiocarbon	GIN-14148	64.53	39.66	640	160.81	peat	terrestrial	0	0	0	1.2000000000000002	2.899008265338338	2.899008265338338	ZaretskayaEtal2011
Dvina_Gulf	radiocarbon	GIN-14160	64.54	39.53	4360	151.85	peat	terrestrial	0	0	0	1.75	2.9097678468393315	2.9097678468393315	ZaretskayaEtal2011
