Region	Dating_Method	LAB_ID	Latitude	Longitude	age	error	Material	Curve	Reservoir_age	Reservoir_error	type	RSL	RSL_2sigma_upper	RSL_2sigma_lower	Reference	notes
Havang	radiocarbon	Lu-269	56.03	14.62	6820	70	charcoal of Quercus	terrestrial	-	-	1	5	0.6403124237432849	0.6403124237432849	Berglund1971	
Havang	radiocarbon	Lu-302	56.03	14.62	6640	70	Bulk sediment	terrestrial	-	-	-1	5	0.6403124237432849	0.6403124237432849	Berglund1971	
Havang	radiocarbon	Lu-313	56.03	14.62	3820	65	bulk sediment	terrestrial	-	-	0	5	0.6708203932499369	0.6708203932499369	Berglund1971	
Havang	radiocarbon	LuS-10393	55.73	14.21	9330	65	Bos primigenius, metatarsus found in lacustrine sediment	terrestrial	-	-	1	-15.4	0.3014962686336267	0.3014962686336267	Hansson2018	
Havang	radiocarbon	LuS-10673	55.73	14.21	8020	120	Mixed terrestrial remains in lacustrine sediment	terrestrial	-	-	1	-11.7	0.3176476034853718	0.3176476034853718	HanssonEtal2018	
Havang	radiocarbon	LuS-10674	55.73	14.21	7950	55	Mixed terrestrial remains in lacustrine sediment	terrestrial	-	-	1	-11.6	0.3176476034853718	0.3176476034853718	HanssonEtal2018	
Havang	radiocarbon	LuS-10675	55.73	14.21	8040	115	Mixed terrestrial remains in lacustrine sediment	terrestrial	-	-	1	-10.3	0.3176476034853718	0.3176476034853718	HanssonEtal2018	
Havang	radiocarbon	LuS-10676	55.73	14.21	8025	55	Mixed terrestrial remains in lacustrine sediment	terrestrial	-	-	1	-8.7	0.3176476034853718	0.3176476034853718	HanssonEtal2018	
Havang	radiocarbon	LuS-10878	55.73	14.22	9470	45	Mixed terrestrial remains in lacustrine sediment	terrestrial	-	-	1	-16.8	0.3014962686336267	0.3014962686336267	Hansson2018	
Havang	radiocarbon	LuS-10879	55.73	14.22	9485	45	Mixed terrestrial remains in lacustrine sediment	terrestrial	-	-	1	-16.8	0.3014962686336267	0.3014962686336267	Hansson2018	
Havang	radiocarbon	LuS-10880	55.73	14.21	7900	35	Mixed terrestrial remains in lacustrine sediment	terrestrial	-	-	1	-8.5	0.3176476034853718	0.3176476034853718	HanssonEtal2018	
Havang	radiocarbon	LuS-10881	55.73	14.21	8085	45	Mixed terrestrial remains in lacustrine sediment	terrestrial	-	-	1	-11.8	0.3176476034853718	0.3176476034853718	HanssonEtal2018	
Havang	radiocarbon	LuS-10926	55.72	14.19	7315	45	Submerged pine stump	terrestrial	-	-	1	-2.5	0.5838664230798	0.5838664230798	Hansson2018	
Havang	radiocarbon	LuS-10962	55.73	14.21	8000	45	Mixed terrestrial remains in lacustrine sediment	terrestrial	-	-	1	-8.5	0.3176476034853718	0.3176476034853718	HanssonEtal2018	
Havang	radiocarbon	LuS-11011	55.73	14.2	7975	35	Alces alces, pick axe found in lacustrine sediment	terrestrial	-	-	1	-5.6	0.3014962686336267	0.3014962686336267	HanssonEtal2018	
Havang	radiocarbon	LuS-11093	55.73	14.23	9605	45	Mixed terrestrial remains in lacustrine sediment	terrestrial	-	-	1	-19.2	0.3176476034853718	0.3176476034853718	HanssonEtal2018a	
Havang	radiocarbon	LuS-11094	55.73	14.22	9405	50	Mixed terrestrial remains in lacustrine sediment	terrestrial	-	-	1	-17.9	0.3176476034853718	0.3176476034853718	HanssonEtal2018a	
