Region	Dating_Method	LAB_ID	Latitude	Longitude	age	error	Material	Curve	Reservoir_age	Reservoir_error	type	RSL	RSL_2sigma_upper	RSL_2sigma_lower	Reference	notes
Lithuania	OSL	Lithuania-01	55.3	21	5645	200	Marine/lagoon sand	-	-	-	-1	11	0.5024937512050175	0.5024937512050175	BitinasEtal2017	
Lithuania	OSL	Lithuania-02	55.3	21	5645	200	Marine/lagoon sand	-	-	-	-1	-12	0.5099019317476744	0.5099019317476744	BitinasEtal2017	
Lithuania	OSL	Lithuania-03	55.3	21	5745	200	Marine/lagoon sand	-	-	-	-1	-12.5	0.5024937512050175	0.5024937512050175	BitinasEtal2017	
Lithuania	OSL	Lithuania-04	55.3	21	5845	250	Marine/lagoon sand	-	-	-	-1	-14	0.5099019317476744	0.5099019317476744	BitinasEtal2017	
Lithuania	OSL	Lithuania-05	55.3	21	6045	250	Marine/lagoon sand	-	-	-	-1	-15	0.5024938009568277	0.5024938009568277	BitinasEtal2017	
Lithuania	OSL	Lithuania-06	55.3	21	6345	250	Marine/lagoon sand	-	-	-	-1	-15.5	0.5099019513592785	0.5099019513592785	BitinasEtal2017	
Lithuania	OSL	Lithuania-07	55.3	21	6545	250	Marine/lagoon sand	-	-	-	-1	-17	0.5024938009568277	0.5024938009568277	BitinasEtal2017	
Lithuania	OSL	Lithuania-08	55.3	21	6645	250	Marine/lagoon sand	-	-	-	-1	-18.5	0.5024938009568277	0.5024938009568277	BitinasEtal2017	
Lithuania	OSL	Lithuania-09	55.3	21	6645	250	Marine/lagoon sand	-	-	-	-1	-19.5	0.5099019513592785	0.5099019513592785	BitinasEtal2017	
Lithuania	OSL	Lithuania-10	55.38	20.75	6745	250	Marine sand	-	-	-	-1	-34	0.5	0.5	Gelumbauskaite2009	
Lithuania	OSL	Lithuania-11	55.43	21.26	4750	300	Marine sand	-	-	-	-1	-2	0.5024937810560445	0.5024937810560445	Damusyte2011	
Lithuania	OSL	Lithuania-12	55.43	21.26	4850	250	Marine sand	-	-	-	-1	-1	0.5099019513592785	0.5099019513592785	Damusyte2011	
Lithuania	OSL	Lithuania-13	55.43	21.26	6850	450	Marine sand	-	-	-	-1	-4	0.5024937810560445	0.5024937810560445	Damusyte2011	
Lithuania	OSL	Lithuania-14	55.43	21.26	8350	450	Marine sand	-	-	-	-1	-3	0.5099019513592785	0.5099019513592785	Damusyte2011	
Lithuania	OSL	Lithuania-15	55.43	21.27	5750	250	Marine sand	-	-	-	-1	-0.5	0.5099019513592785	0.5099019513592785	Damusyte2011	
Lithuania	OSL	Lithuania-16	55.43	21.27	7850	300	Marine sand	-	-	-	-1	-1.5	0.5099019513592785	0.5099019513592785	Damusyte2011	
Lithuania	OSL	Lithuania-17	55.45	20.72	4345	250	Marine sand	-	-	-	-1	-47.5	0.5	0.5	Gelumbauskaite2009	
Lithuania	OSL	Lithuania-18	55.67	21.11	7950	500	Marine sand	-	-	-	-1	-12.5	0.5099019317476744	0.5099019317476744	BitinasEtal2000,BitinasEtal2001	
Lithuania	OSL	Lithuania-19	56.05	21.07	5450	425	Marine sand	-	-	-	-1	-5	0.5220153254455275	0.5220153254455275	BitinasEtal2000,BitinasEtal2001	
