Region	Dating_Method	LAB_ID	Latitude	Longitude	age	error	Material	Curve	Reservoir_age	Reservoir_error	type	RSL	RSL_2sigma_upper	RSL_2sigma_lower	Reference	note
Netherlands_Wadden_Sea	radiocarbon	GRN-30128	53.227	6.724	10290	250	gyttja	terrestrial	-	-	1	-4.45	0.22	0.22	MeijlesEtal2018,WoldringEtal2005	controlled by local groundwater conditions independent of sea level
Netherlands_Wadden_Sea	radiocarbon	GRN-7565	53.378	6.035	9290	55	peat, unclassified	terrestrial	-	-	1	-9.89	0.22	0.22	MeijlesEtal2018,Griede1978	controlled by local groundwater conditions independent of sea level
Netherlands_Wadden_Sea	radiocarbon	GRN-17869	53.19	6.945	8420	85	peat, unclassified	terrestrial	-	-	1	-2.7	0.54	0.54	MeijlesEtal2018	controlled by local groundwater conditions independent of sea level
Netherlands_Wadden_Sea	radiocarbon	GRN-32801	53.226	6.653	8210	70	peat, unclassified	terrestrial	-	-	1	-5.95	0.54	0.54	MeijlesEtal2018	controlled by local groundwater conditions independent of sea level
Netherlands_Wadden_Sea	radiocarbon	GRA-2424	53.25	4.79	7490	70	peat with sand	terrestrial	-	-	1	-17.09	1.02	1.02	MeijlesEtal2018	controlled by local groundwater conditions independent of sea level
Netherlands_Wadden_Sea	radiocarbon	GRA-2423	53.25	4.79	7340	70	peat with sand	terrestrial	-	-	0	-17.09	1.02	1.02	MeijlesEtal2018	lowest local time-depth position
Netherlands_Wadden_Sea	radiocarbon	GRN-23923	53.372	6.784	7320	60	peat, unclassified	terrestrial	-	-	1	-10.32	0.22	0.22	MeijlesEtal2018,KidenVos2012	controlled by local groundwater conditions independent of sea level
Netherlands_Wadden_Sea	radiocarbon	GRN-23931	53.446	6.717	7170	25	peat, unclassified	terrestrial	-	-	0	-16.08	0.22	0.22	MeijlesEtal2018	lowest local time-depth position
Netherlands_Wadden_Sea	radiocarbon	GRN-18285	53.427	5.722	7095	50	wood peat	terrestrial	-	-	0	-13.54	1.02	1.02	MeijlesEtal2018,vanderSpek1994	lowest local time-depth position
Netherlands_Wadden_Sea	radiocarbon	GRN-18286	53.427	5.722	7025	50	mor, sandy	terrestrial	-	-	0	-13.59	1.02	1.02	MeijlesEtal2018,vanderSpek1994	lowest local time-depth position
