Region	Dating_Method	LAB_ID	Latitude	Longitude	age	error	Material	Curve	Reservoir_age	Reservoir_error	type	RSL	RSL_2sigma_upper	RSL_2sigma_lower	Reference	notes									
Parnu	radiocarbon	Beta-397976	58.14	24.52	3510	30	gyttja	terrestrial	-	-	-1	4.58	0.5	0.5	HabichtEtal2017,NirgiEtal2020		#REF!	1186	1433; Tolkuse 4	Habicht et al. 2017 (as in Nirgi et al. 2019)	Estonia; Pärnu; Tolkuse	0	n/a	3780	85
Parnu	radiocarbon	Beta-404516	58.27	24.69	7150	30	cultural layer	terrestrial	-	-	1	8.28	0.5	0.5	HabichtEtal2017,NirgiEtal2020		#REF!	1182	1429; Metsaääre I	Habicht et al. 2017 (as in Nirgi et al. 2019)	Estonia; Pärnu; Metsaääre I	0	n/a	7970	45
Parnu	radiocarbon	Beta-456806	58.36	24.57	7540	30	seeds of terrestial plants in buried peat	terrestrial	-	-	1	-2.12	0.5099019513592785	0.5099019513592785	NirgiEtal2020		#REF!	1104	1351; PärnuRB15-05-1	Nirgi et al. 2019	Estonia; Pärnu; PärnuRB15-05	0	n/a	8370	40
Parnu	radiocarbon	Beta-456807	58.36	24.57	7860	30	terrestial seeds in buried peat	terrestrial	-	-	1	-3.04	0.5166236541235796	0.5166236541235796	NirgiEtal2020		#REF!	1105	1352; PärnuRB15-05-2	Nirgi et al. 2019	Estonia; Pärnu; PärnuRB15-05	0	n/a	8630	135
Parnu	radiocarbon	Beta-456809	58.36	24.57	8390	30	wood in buried peat	terrestrial	-	-	0	-5.12	0.722841614740048	0.722841614740048	NirgiEtal2020		#REF!	1107	1354; PärnuRB15-05-4	Nirgi et al. 2019	Estonia; Pärnu; PärnuRB15-05	0	n/a	9440	45
Parnu	radiocarbon	Beta-456810	58.36	24.57	9430	40	terrestial seeds in buried peat	terrestrial	-	-	0	-5.67	0.7088723439378912	0.7088723439378912	NirgiEtal2020		#REF!	1108	1355; PärnuRB15-05-5	Nirgi et al. 2019	Estonia; Pärnu; PärnuRB15-05	0	n/a	10660	100
Parnu	radiocarbon	Beta-492458	58.34	24.53	8070	40	terrestial seeds in channel infill	terrestrial	-	-	0	-4.77	0.7071774883294858	0.7071774883294858	NirgiEtal2020		#REF!	1109	1356; Pärnu2 (5K-18)	Nirgi et al. 2019	Estonia; Pärnu; Pärnu2 (5K-18)	0	n/a	9000	120
Parnu	radiocarbon	Hel-2206A	58.42	24.68	9620	120	soil, INS	terrestrial	-	-	1	9.18	0.5	0.5	HailaRaukas1992,NirgiEtal2020		#REF!	1129	1376; Pulli 9	Haila & Raukas 1992 (as in Nirgi et al. 2019)	Estonia; Pärnu; Pulli	0	n/a	10950	290
Parnu	radiocarbon	Hel-2206B	58.42	24.68	9290	120	soil, SOL	terrestrial	-	-	1	9.18	0.5	0.5	HailaRaukas1992,NirgiEtal2020		#REF!	1130	1377; Pulli 10	Haila & Raukas 1992 (as in Nirgi et al. 2019)	Estonia; Pärnu; Pulli	0	n/a	10490	570
Parnu	radiocarbon	Hel-2207	58.13	24.51	7610	100	humus in woody peat	terrestrial	-	-	1	2.43	0.5	0.5	Hyvarinen1992,NirgiEtal2020		#REF!	1176	1423; Rannametsa 4	Hyvärinen et al. 1992 (as in Nirgi et al. 2019)	Estonia; Pärnu; Rannametsa	0	n/a	8420	175
