Region	Dating_Method	LAB_ID	Latitude	Longitude	age	error	Material	Curve	Reservoir_age	Reservoir_error	type	RSL	RSL_2sigma_upper	RSL_2sigma_lower	Reference
Rotterdam	radiocarbon	GrA-04308	51.87	4.55	4470	60	SL regional peat_ Bottom peat_ 2 abscission layers_ 2 Urtica_ 1 Coleoptera fragment	terrestrial	0	0	0	-4.33	0.13	0.1	BerendsenEtal2007
Rotterdam	radiocarbon	GrA-05207	51.87	4.55	5930	50	SL regional peat_ Bottom peat_ 1 Cornus sanguinea	terrestrial	0	0	0	-8.02	0.17	0.1	BerendsenEtal2007
Rotterdam	radiocarbon	GrA-05237	51.87	4.55	6200	50	SL regional peat_ Bottom peat_ 3 Alisma_ 2 typha_ 1 Alnus_ 1 Solanum	terrestrial	0	0	0	-8.89	0.18	0.1	BerendsenEtal2007
Rotterdam	radiocarbon	GrA-05215	51.87	4.55	6360	50	SL regional peat_ Bottom peat_ 1 Alnus cone	terrestrial	0	0	0	-9.82	0.19	0.11	BerendsenEtal2007
Rotterdam	radiocarbon	GrA-05208	51.87	4.55	6660	60	SL regional peat_ Bottom peat_ 2 Cornus_ 2 Solanum_ 2 Alnus glutinosa_ 1 Atriplex	terrestrial	0	0	0	-10.81	0.21	0.11	BerendsenEtal2007
Rotterdam	radiocarbon	GrA-13683	51.87	4.55	3380	40	SL regional peat_ Bottom peat_ Terrestrial botanical macrofossils	terrestrial	0	0	0	-2.82	0.12	0.12	BerendsenEtal2007
Rotterdam	radiocarbon	GrA-13685	51.87	4.55	3790	40	SL regional peat_ Bottom peat_ Terrestrial botanical macrofossils	terrestrial	0	0	0	-3.45	0.12	0.1	BerendsenEtal2007
Rotterdam	radiocarbon	UtC-15344	51.96	4	7700	60	SL regional peat_ Near top peat_ Alnus fruit	terrestrial	0	0	0	-20.54	0.23	0.1	HijmaCohen2010
Rotterdam	radiocarbon	UtC-15404	51.96	4	7910	80	SL regional peat_ Bottom peat_ Mentha_ Alisma_ Carex_	terrestrial	0	0	0	-22.35	0.24	0.24	HijmaCohen2010
Rotterdam	radiocarbon	UtC-14940	51.92	4.47	7486	41	SL regional peat_ Top peat_ Mainly Alisma pl. and Scirpus	terrestrial	0	0	0	-16.91	0.22	0.22	HijmaEtal2009,HijmaCohen2010
