Region	Dating_Method	LAB_ID	Latitude	Longitude	age	error	Material	Curve	Reservoir_age	Reservoir_error	type	RSL	RSL_2sigma_upper	RSL_2sigma_lower	Reference	notes
Rugen	radiocarbon	KIA-24245	54.55	13.29	5393	29	wooden post	terrestrial	-	-	-1	-0.6000000000000001	0.2	0.2	LampeEtal2010	
Rugen	radiocarbon	KIA-24249	54.55	13.29	5704	30	Cervus bone	terrestrial	-	-	-1	-0.6000000000000001	0.2	0.2	LampeEtal2010	
Rugen	radiocarbon	KIA-24248	54.55	13.29	5802	30	Sus bone	terrestrial	-	-	-1	-0.6000000000000001	0.2	0.2	LampeEtal2010	
Rugen	radiocarbon	KIA-24250	54.55	13.29	5879	35	Capreolus bone	terrestrial	-	-	-1	-0.8999999999999999	0.2	0.2	LampeEtal2010	
Rugen	radiocarbon	KIA-27247	54.58	13.34	6005	26	wood	terrestrial	-	-	-1	-1.3	0.2	0.2	LampeEtal2010	
Rugen	radiocarbon	KIA-25985	54.48	13.49	5030	35	mr (A.glutinosa)	terrestrial	-	-	0	-1.15	0.25	0.25	LampeEtal2010	
Rugen	radiocarbon	KIA-25986	54.48	13.49	5980	35	indet mr	terrestrial	-	-	0	-2.35	0.25	0.25	LampeEtal2010	
Rugen	radiocarbon	KIA-25987	54.48	13.49	1065	30	indet mr	terrestrial	-	-	0	0.65	0.25	0.25	LampeEtal2010	
Rugen	radiocarbon	KIA-25989	54.48	13.49	4580	30	mr (A.glutinosa)	terrestrial	-	-	0	-0.44999999999999996	0.25	0.25	LampeEtal2010	
Rugen	radiocarbon	KIA-26563	54.48	13.49	4770	50	mr (A.glutinosa)	terrestrial	-	-	0	-1.05	0.25	0.25	LampeEtal2010	
Rugen	radiocarbon	KIA-26565	54.48	13.49	5080	90	mr (Carex riparia)	terrestrial	-	-	0	-1.65	0.25	0.25	LampeEtal2010	
Rugen	radiocarbon	KIA-26566	54.48	13.49	5530	35	mr (Cladium/Schoenopl.)	terrestrial	-	-	0	-1.75	0.25	0.25	LampeEtal2010	
Rugen	radiocarbon	KIA-26567	54.48	13.49	5810	55	mr (Chenopodium)	terrestrial	-	-	0	-1.95	0.25	0.25	LampeEtal2010	
Rugen	radiocarbon	KIA-26568	54.48	13.49	6205	35	indet mr	terrestrial	-	-	0	-2.15	0.25	0.25	LampeEtal2010	
Rugen	radiocarbon	KIA-26569	54.48	13.49	6300	30	mr (A.glutinosa)	terrestrial	-	-	0	-2.4499999999999997	0.25	0.25	LampeEtal2010	
Rugen	radiocarbon	KIA-26571	54.48	13.49	6905	45	mr (A.glutinosa)	terrestrial	-	-	0	-3.25	0.25	0.25	LampeEtal2010	
Rugen	radiocarbon	KIA-19818	54.47	13.57	3890	30	mr (Chenopodium)	terrestrial	-	-	0	-0.15	0.5220153254455275	0.5220153254455275	LampeEtal2010	
Rugen	radiocarbon	Hv-24832	54.47	13.57	4240	70	peat. bulk	terrestrial	-	-	0	-0.25	0.5220153254455275	0.5220153254455275	LampeEtal2010	
Rugen	radiocarbon	KIA-26574	54.55	13.21	1440	25	peat. bulk	terrestrial	-	-	0	-0.15	0.25	0.25	LampeEtal2010	
Rugen	radiocarbon	Hv-23671	54.55	13.21	1155	100	peat. bulk	terrestrial	-	-	0	-0.15	0.25	0.25	LampeEtal2010	
Rugen	radiocarbon	Hv-23672	54.55	13.21	1120	100	peat. bulk	terrestrial	-	-	0	-0.15	0.25	0.25	LampeEtal2010	
Rugen	radiocarbon	KIA-26575	54.55	13.21	2755	45	peat. bulk	terrestrial	-	-	0	-0.25	0.25	0.25	LampeEtal2010	
Rugen	radiocarbon	KIA-26577	54.55	13.21	4290	50	peat. bulk	terrestrial	-	-	0	-0.55	0.25	0.25	LampeEtal2010	
Rugen	radiocarbon	KIA-26576	54.55	13.21	4300	40	peat. bulk	terrestrial	-	-	0	-0.55	0.25	0.25	LampeEtal2010	
Rugen	radiocarbon	KIA-24246	54.55	13.29	6181	35	trunk	terrestrial	-	-	1	-1.6	0.2	0.2	LampeEtal2010	
Rugen	radiocarbon	KIA-24247	54.55	13.29	6574	35	charcoal. fireplace	terrestrial	-	-	1	-1.6	0.2	0.2	LampeEtal2010	
Rugen	radiocarbon	KIA-27248	54.58	13.34	6577	32	trunk	terrestrial	-	-	1	-2.2	0.2	0.2	LampeEtal2010	
Rugen	radiocarbon	Bln-1559	54.4	13.61	5844	70	peat. bulk	terrestrial	-	-	0	-2.05	0.5220153254455275	0.5220153254455275	LampeEtal2010	
Rugen	radiocarbon	Bln-1560	54.4	13.61	7698	46	peat. bulk	terrestrial	-	-	0	-7.75	0.5220153254455275	0.5220153254455275	LampeEtal2010	
Rugen	radiocarbon	Bln-1875	54.4	13.61	8060	80	peat. bulk	terrestrial	-	-	0	-9.25	0.5220153254455275	0.5220153254455275	LampeEtal2010	
Rugen	radiocarbon	Hv-24433	54.55	13.28	6840	100	peat. bulk	terrestrial	-	-	0	-3.85	0.5220153254455275	0.5220153254455275	LampeEtal2010	
Rugen	radiocarbon	Hv-24432	54.55	13.28	6700	90	peat. bulk	terrestrial	-	-	0	-3.65	0.5220153254455275	0.5220153254455275	LampeEtal2010	
