Region	Dating_Method	LAB_ID	Latitude	Longitude	age	error	Material	Curve	Reservoir_age	Reservoir_error	type	RSL	RSL_2sigma_upper	RSL_2sigma_lower	Reference	notes
Salt_Meadows	radiocarbon	KIA-22879	54.27	12.36	6255	74	mr (insect remains)	terrestrial	-	-	0	-3.65	0.25	0.25	LampeEtal2010	
Salt_Meadows	radiocarbon	KIA-22880	54.27	12.36	6150	40	mr (Schoenopl.)	terrestrial	-	-	0	-3.4499999999999997	0.25	0.25	LampeEtal2010	
Salt_Meadows	radiocarbon	KIA-22881	54.27	12.36	5881	36	mr (Schoenopl.)	terrestrial	-	-	0	-2.9499999999999997	0.25	0.25	LampeEtal2010	
Salt_Meadows	radiocarbon	KIA-22882	54.27	12.36	5285	65	indet. mr	terrestrial	-	-	0	-2.25	0.25	0.25	LampeEtal2010	
Salt_Meadows	radiocarbon	KIA-22883	54.27	12.36	4657	56	indet mr	terrestrial	-	-	0	-1.95	0.25	0.25	LampeEtal2010	
Salt_Meadows	radiocarbon	KIA-22884	54.27	12.36	3611	54	indet mr	terrestrial	-	-	0	-1.15	0.25	0.25	LampeEtal2010	
Salt_Meadows	radiocarbon	KIA-25992	54.27	12.36	780	25	ha. leach.res.	terrestrial	-	-	0	-0.25	0.25	0.25	LampeEtal2010	
Salt_Meadows	radiocarbon	KIA-25993	54.27	12.36	2175	25	ha. leach.res.	terrestrial	-	-	0	-0.35	0.25	0.25	LampeEtal2010	
Salt_Meadows	radiocarbon	KIA-25994	54.27	12.36	2745	30	ha. leach.res.	terrestrial	-	-	0	-0.9500000000000001	0.25	0.25	LampeEtal2010	
Salt_Meadows	radiocarbon	KIA-25995	54.27	12.36	3225	30	ha. leach.res.	terrestrial	-	-	0	-1.05	0.25	0.25	LampeEtal2010	
Salt_Meadows	radiocarbon	KIA-25996	54.27	12.36	3835	30	ha. leach.res.	terrestrial	-	-	0	-1.25	0.25	0.25	LampeEtal2010	
Salt_Meadows	radiocarbon	KIA-25997	54.27	12.36	4095	30	ha. leach.res.	terrestrial	-	-	0	-1.45	0.25	0.25	LampeEtal2010	
Salt_Meadows	radiocarbon	KIA-25998	54.27	12.36	4390	30	ha. leach.res.	terrestrial	-	-	0	-1.65	0.25	0.25	LampeEtal2010	
Salt_Meadows	radiocarbon	KIA-25999	54.27	12.36	4655	30	ha. leach.res.	terrestrial	-	-	0	-1.8499999999999999	0.25	0.25	LampeEtal2010	
Salt_Meadows	radiocarbon	KIA-26000	54.27	12.36	4920	30	ha. leach.res.	terrestrial	-	-	0	-2.05	0.25	0.25	LampeEtal2010	
Salt_Meadows	radiocarbon	KIA-26001	54.27	12.36	4550	25	ha. leach.res.	terrestrial	-	-	0	-1.75	0.25	0.25	LampeEtal2010	
Salt_Meadows	radiocarbon	KIA-26002	54.27	12.36	4920	30	ha. leach.res.	terrestrial	-	-	0	-2.05	0.25	0.25	LampeEtal2010	
