Region	Dating_Method	LAB_ID	Latitude	Longitude	age	error	Material	Curve	Reservoir_age	Reservoir_error	type	RSL	RSL_2sigma_upper	RSL_2sigma_lower	Reference	notes
Samso_Belt	radiocarbon	AAR-1177	56.25	10.42	7620	110	Corylus avellana nut	terrestrial	-	-	-1	-6.2	1.118033988749895	1.118033988749895	FischerEtal2005	
Samso_Belt	radiocarbon	AAR-8413	56.25	10.42	7690	45	Quercus sp. root	terrestrial	-	-	1	-6.7	1.118033988749895	1.118033988749895	FischerEtal2005	
Samso_Belt	radiocarbon	AAR-8414	56.25	10.42	7560	35	Hedera helix stem	terrestrial	-	-	1	-6.4	1.118033988749895	1.118033988749895	FischerEtal2005	
Samso_Belt	radiocarbon	AAR-8415	56.25	10.42	7550	40	Corylus avellana wood	terrestrial	-	-	1	-6.4	1.118033988749895	1.118033988749895	FischerEtal2005	
Samso_Belt	radiocarbon	AAR-1178	56.25	10.42	7390	160	Antler	terrestrial	-	-	-1	-6.1	1.118033988749895	1.118033988749895	FischerEtal2005	
Samso_Belt	radiocarbon	K-3681	56.31	10.55	3860	85	Cerastoderma edule shells	marine	10	0	-1	0.8	1.118033988749895	1.118033988749895	PetersenRasmussen1995	
Samso_Belt	radiocarbon	K-3984	56.31	10.55	3850	85	Cerastoderma edule shells	marine	10	0	-1	1	1.118033988749895	1.118033988749895	PetersenRasmussen1995	
Samso_Belt	radiocarbon	K-3986	56.31	10.55	4600	90	Mytilus edulis shells	marine	10	0	-1	-4	1.118033988749895	1.118033988749895	PetersenRasmussen1995	
Samso_Belt	radiocarbon	K-3987	56.31	10.55	4910	90	Ostrea edulis shells	marine	10	0	-1	-5.5	1.118033988749895	1.118033988749895	PetersenRasmussen1995	
Samso_Belt	radiocarbon	K-3988	56.31	10.55	7240	110	Corbula gibba shells	marine	10	0	-1	-8.5	1.118033988749895	1.118033988749895	PetersenRasmussen1995	
Samso_Belt	radiocarbon	K-3989	56.31	10.55	7370	110	Cerastoderma edule shells	marine	10	0	-1	-8.7	1.118033988749895	1.118033988749895	PetersenRasmussen1995	
Samso_Belt	radiocarbon	K-3990	56.31	10.55	7380	110	Corbula gibba shells	marine	10	0	-1	-8.7	1.118033988749895	1.118033988749895	PetersenRasmussen1995	
Samso_Belt	radiocarbon	K-3996	55.89	10.63	6030	100	Alnus glutinosa stem	terrestrial	-	-	-1	-0.8	1.118033988749895	1.118033988749895	Rasmussen1995	
Samso_Belt	radiocarbon	K-3997	55.89	10.63	7150	110	Charcoal from lake deposit	terrestrial	-	-	1	-1.1	1.118033988749895	1.118033988749895	Rasmussen1995	
Samso_Belt	radiocarbon	K-4000	55.89	10.63	5480	95	Cerastoderma and Littorina shells	marine	10	0	-1	0	1.118033988749895	1.118033988749895	Rasmussen1995	
Samso_Belt	radiocarbon	K-4001	55.89	10.63	5580	70	Cerastoderma and Littorina shells	marine	10	0	-1	0	1.118033988749895	1.118033988749895	Rasmussen1995	
Samso_Belt	radiocarbon	K-4002	55.89	10.63	6030	100	Ostrea edulis shells	marine	10	0	-1	-0.8	1.118033988749895	1.118033988749895	Rasmussen1995	
Samso_Belt	radiocarbon	K-4233	56.31	10.55	3960	65	Cerastoderma edule shells	marine	10	0	-1	1.7	1.118033988749895	1.118033988749895	Petersen1993	
