cr-08-gp1b	34.729	-76.861	50400	3800	1	3.6	2	2
4	36.788	-76.196	75000	5000	-1	0	2	2
OS-63816	35.439	-75.486	46204	988	-1	-16.25	2	2
TCK-19	36.335	-75.907	45300	4300	1	0.826	2	2
HS-02	36.343	-76.064	46400	2500	1	-0.15	2	2
HS-03	36.343	-76.064	48900	10900	1	-0.9	2	2
TCK-17	36.27	-75.911	54300	6700	1	0.345	2	2
RI-03	35.939	-75.718	55400	7200	1	0.05	2	2
c-1	36.975	-76.172	62000	2000	-1	-2.8	2	2
C-2	36.742	-76.188	73000	4000	-1	-1	2	2
FS181	35.609	-77.217	35800	6100	1	9.3	2	2
GH23-01	36.717	-76.529	31800	3000	0	3.65	2	2
GH25-01	36.699	-76.359	37700	3600	-1	-0.9	2	2
GH15-01	35.737	-76.534	40000	4300	-1	-3	2	2
KNL02	35.022	-76.898	41800	3200	1	5.5	2	2
MYK-01	36.532	-76.177	45800	4300	-1	-2	2	2
DR-2	35.93	-76.165	62000	12000	0	1.5	2	2
ELP-05	35.857	-75.952	66900	6700	0	-0.6	2	2
MLD01-02a	35.509	-76.001	74900	8000	-1	-7	2	2
GH18-01	35.62	-76.357	76900	7100	0	-3.4	2	2
qw-2	37.162	-75.98	38900	5500	1	1.9	2	2
qtp-1	36.577	-76.037	39600	6600	1	0.8	2	2
qtp-2	36.577	-76.037	44400	5200	1	0.75	2	2
qw-1	37.162	-75.98	46900	6900	1	1.9	2	2
qts-1	36.895	-76.515	49700	5900	1	5.1	2	2
qnb-1	37.195	-76.005	69300	7600	1	3.25	2	2
qnb-2	37.195	-76.005	69700	8400	1	3.25	2	2
