Beta-100325	-69.015	39.568	33687	382	-1	10.4	2.08	2.08
Beta-116846	-69.015	39.568	36014	256	-1	10.4	2.08	2.08
Beta-100323	-69.015	39.568	37934	732	-1	10.2	2.04	2.04
NUTA-Ishiwa02	-69.015	39.568	38398	783	-1	18	3.6	3.6
Beta-100327	-69.015	39.568	38643	670	-1	9.7	1.94	1.94
Beta-10340	-69.015	39.568	38689	486	-1	5.4	1.08	1.08
NUTA-Ishiwa03	-69.015	39.568	39033	601	-1	17	3.4000000000000004	3.4000000000000004
Beta-100330	-69.015	39.568	39036	420	-1	8.6	1.72	1.72
Beta-116847	-69.015	39.568	39069	390	-1	9.8	1.9600000000000002	1.9600000000000002
Beta-100324	-69.015	39.568	39396	644	-1	10.4	2.08	2.08
Beta-90954	-69.015	39.568	41065	1944	-1	3	1	1
NUTA-Ishiwa01	-69.015	39.568	40337	650	-1	13	2.6	2.6
Beta-100329	-69.015	39.568	40414	448	-1	8.5	1.7000000000000002	1.7000000000000002
Beta-80994	-69.015	39.568	41624	1578	-1	10	2	2
Beta-10334	-69.015	39.568	40562	419	-1	6	1.2000000000000002	1.2000000000000002
Beta-80999	-69.015	39.568	41225	802	-1	4	1	1
Beta-10336	-69.015	39.568	41239	416	-1	5	1	1
Beta-10338	-69.015	39.568	41242	421	-1	3	1	1
Beta-10337	-69.015	39.568	41335	409	-1	4.1	1	1
Beta-100328	-69.015	39.568	41375	411	-1	9.7	1.94	1.94
Beta-100331	-69.015	39.568	41480	449	-1	7	1.4000000000000001	1.4000000000000001
Beta-100322	-69.015	39.568	41828	415	-1	10.2	2.04	2.04
Beta-90958	-69.015	39.568	42043	329	-1	17	3.4000000000000004	3.4000000000000004
Beta-110487	-69.015	39.568	42772	887	-1	12	2.4000000000000004	2.4000000000000004
Beta-10339	-69.015	39.568	42285	361	-1	2.9	1	1
Beta-90959	-69.015	39.568	42275	347	-1	6	1.2000000000000002	1.2000000000000002
Beta-90957	-69.015	39.568	42611	420	-1	12	0.5	0.5
Beta-110486	-69.015	39.568	44961	1302	-1	12	2.4000000000000004	2.4000000000000004
Beta-110488	-69.011	39.574	45134	1296	-1	11	2.2	2.2
Beta-110485	-69.015	39.568	45589	1477	-1	16	3.2	3.2
Beta-10335	-69.015	39.568	45321	1115	-1	5.7	1.1400000000000001	1.1400000000000001
Beta-90140	-69.015	39.568	45548	1246	-1	12	2.4000000000000004	2.4000000000000004
Beta-116848	-69.015	39.568	45091	722	-1	6.5	1.3	1.3
Beta-10333	-69.015	39.568	46305	1320	-1	5.7	1.1400000000000001	1.1400000000000001
Beta-10332	-69.015	39.568	46669	1563	-1	6.2	1.2400000000000002	1.2400000000000002
