BETA-185984	46.07	-60.89	1604	159	-1	-14.4	0.6	0.6
BETA-197660	46.07	-60.89	5087	197	1	-15.1	0.7	0.7
BETA-185985	46.07	-60.89	5158	150	1	-15.2	0.7	0.7
BETA-197661	46.07	-60.89	5142	158	1	-15.3	0.6	0.6
BETA-185986	46.07	-60.89	4649	169	0	-13.7	0.7	0.7
BETA-185987	46.07	-60.89	4639	175	0	-14.1	0.7	0.7
BETA-185988	46.07	-60.89	1850	187	-1	-14	0.6	0.6
BETA-185989	46.07	-60.89	4743	114	1	-14.5	0.7	0.7
BETA-185990	46.07	-60.89	4316	123	1	-11.6	0.7	0.7
BETA-185991	46.07	-60.89	6057	118	0	-22.3	0.7	0.7
BETA-197662	46.07	-60.89	6154	130	0	-22.4	0.7	0.7
BETA-31834	46.22	-60.53	4044	283	1	-1.1	0.6	0.6
BETA-37865	46.22	-60.53	829	109	-1	-1.1	0.6	0.6
BETA-37866	46.22	-60.53	1158	154	-1	-1.1	0.6	0.6
BETA-37867	46.22	-60.53	1452	146	0	-1.5	0.7	0.7
GSC-1578	46.04	-60.38	12105	302	1	50	0.6	0.6
