Region	Dating_Method	LAB_ID	Latitude	Longitude	age	error	Material	Curve	Reservoir_age	Reservoir_error	type	RSL	RSL_2sigma_upper	RSL_2sigma_lower	Reference
Cumberland	radiocarbon	DAL-362	45.12	-64.38	3700	56	mussels	marine	-38	47	-1	-5.2	0.4	0.4	ShawEtal2010
Cumberland	radiocarbon	DAL-296	45.12	-64.38	4005	112	oyster	marine	-38	47	-1	-5.2	0.4	0.4	ShawEtal2010
Cumberland	radiocarbon	GSC-2598	45.12	-64.38	4150	30	oyster	marine	-38	47	-1	-5.2	0.4	0.4	ShawEtal2010
Cumberland	radiocarbon	DAL-361	45.12	-64.38	3675	35	tree	terrestrial	0	0	1	-4.7	0.4	0.4	ShawEtal2010
Cumberland	radiocarbon	GSC-3105	45.12	-64.38	4470	60	tree	terrestrial	0	0	1	-4.7	0.4	0.4	ShawEtal2010
Cumberland	radiocarbon	GSC-3040	45.12	-64.38	4200	40	mussels	marine	-38	47	-1	-5.2	0.4	0.4	ShawEtal2010
Cumberland	radiocarbon	GSC-3043	45.12	-64.38	4100	30	oyster	marine	-38	47	-1	-5.2	0.4	0.4	ShawEtal2010
Cumberland	radiocarbon	Gx-6810	45.14	-64.39	4430	235	peat	terrestrial	0	0	0	-4.8	0.5	0.5	ShawEtal2010
Cumberland	radiocarbon	Gx-6812	45.14	-64.39	2355	180	peat	terrestrial	0	0	0	-0.3	1.5	1.5	ShawEtal2010
Cumberland	radiocarbon	GX-5843	45.37	-63.31	4045	165	peat	terrestrial	0	0	0	-6.2	0.5	0.5	ShawEtal2010
Cumberland	radiocarbon	P-867	45.38	-63.53	7208	83	peat	terrestrial	0	0	1	5	0.4	0.4	StuckenrathEtal1966
Cumberland	radiocarbon	P-739	45.42	-63.43	10642	134	charcoal	terrestrial	0	0	1	30	0.4	0.4	StuckenrathEtal1966
Cumberland	radiocarbon	P-741	45.42	-63.43	10531	126	charcoal	terrestrial	0	0	1	30	0.4	0.4	StuckenrathEtal1966
Cumberland	radiocarbon	P-743	45.42	-63.43	10452	128	charcoal	terrestrial	0	0	1	30	0.4	0.4	StuckenrathEtal1966
Cumberland	radiocarbon	P-966	45.42	-63.43	10557	121	charcoal	terrestrial	0	0	1	30	0.4	0.4	StuckenrathEtal1966
Cumberland	radiocarbon	P-975	45.42	-63.43	11011	225	charcoal	terrestrial	0	0	1	30	0.4	0.4	StuckenrathEtal1966
Cumberland	radiocarbon	P-977	45.42	-63.43	10113	275	charcoal	terrestrial	0	0	1	30	0.4	0.4	StuckenrathEtal1966
Cumberland	radiocarbon	P-951	45.55	-63.55	10746	100	peat	terrestrial	0	0	1	22	0.4	0.4	StuckenrathEtal1966
Cumberland	radiocarbon	GX-4939	45.66	-64.66	7140	160	peat	terrestrial	0	0	0	-27.9	2.2	2.2	ScottGreenberg1983
Cumberland	radiocarbon	GX-8146	45.73	-64.68	2225	160	peat	terrestrial	0	0	0	-1.6	1.6	1.6	ShawEtal2010
Cumberland	radiocarbon	GX-8147	45.73	-64.68	3130	180	peat	terrestrial	0	0	0	-3.1	1.5	1.5	ShawEtal2010
Cumberland	radiocarbon	GX-8148	45.73	-64.68	3240	160	peat	terrestrial	0	0	0	-4	1.5	1.5	ShawEtal2010
Cumberland	radiocarbon	Que-904	45.77	-64.25	130	80	peat	terrestrial	0	0	0	-0.5	1.7	1.7	ShawEtal2010
Cumberland	radiocarbon	Que-905	45.77	-64.25	320	70	peat	terrestrial	0	0	0	-0.7	1.7	1.7	ShawEtal2010
Cumberland	radiocarbon	Que-906	45.77	-64.25	880	60	peat	terrestrial	0	0	0	-0.2	1.8	1.8	ShawEtal2010
Cumberland	radiocarbon	BETA-118967	45.79	-64.27	2030	50	gramineae stem	terrestrial	0	0	0	-2.1	1.6	1.6	ShawEtal2010
Cumberland	radiocarbon	BETA-118968	45.79	-64.27	2400	50	gramineae stem	terrestrial	0	0	0	-2.7	1.5	1.5	ShawEtal2010
Cumberland	radiocarbon	BETA-118969	45.79	-64.27	2650	40	gramineae stem	terrestrial	0	0	0	-2.7	1.4	1.4	ShawEtal2010
Cumberland	radiocarbon	BETA-118970	45.79	-64.27	2570	40	peat	terrestrial	0	0	0	-3.1	1.5	1.5	ShawEtal2010
Cumberland	radiocarbon	BETA-118971	45.79	-64.27	2490	60	peat	terrestrial	0	0	0	-3.1	1.5	1.5	ShawEtal2010
Cumberland	radiocarbon	BETA-65697	45.79	-64.27	315	55	sp. alterniflora root	terrestrial	0	0	0	0.1	1.6	1.6	ShawEtal2010
Cumberland	radiocarbon	BETA-65698	45.79	-64.27	290	55	sp. alterniflora root	terrestrial	0	0	0	-0.1	1.6	1.6	ShawEtal2010
Cumberland	radiocarbon	BETA-65699	45.79	-64.27	970	60	peat	terrestrial	0	0	0	0.9	1.7	1.7	ShawEtal2010
Cumberland	radiocarbon	BETA-65700	45.79	-64.27	1070	50	peat	terrestrial	0	0	0	-1.3	1.7	1.7	ShawEtal2010
