Region	Dating_Method	LAB_ID	Latitude	Longitude	age	error	Material	Curve	Reservoir_age	Reservoir_error	type	RSL	RSL_2sigma_upper	RSL_2sigma_lower	Reference
Forestville	radiocarbon	BETA-36108	48.07	-69.74	6510	70	peat	terrestrial	0	0	1	30	1.5	1.5	DionneOcchietti1996
Forestville	radiocarbon	BETA-37627	48.11	-69.72	9250	110	balanus crenatus	marine	167	93	-1	55	2.8	2.8	DionneOcchietti1996
Forestville	radiocarbon	BETA-37628	48.11	-69.72	9180	100	macoma balthica	marine	167	93	-1	55	2.8	2.8	DionneOcchietti1996
Forestville	radiocarbon	I-5922	48.19	-69.72	10400	150	macoma balthica	marine	167	93	-1	83	4.2	4.2	DionneOcchietti1996
Forestville	radiocarbon	UL-697	48.11	-69.72	9210	130	mytilus edulis	marine	167	93	-1	55	2.8	2.8	DionneOcchietti1996
Forestville	radiocarbon	BETA-37629	48.09	-69.71	1310	78	peat	terrestrial	0	0	1	5.6	0.6	0.6	Dionne1996
Forestville	radiocarbon	BETA-44565	48.09	-69.71	950	70	wood	terrestrial	0	0	1	5.2	0.6	0.6	Dionne1996
Forestville	radiocarbon	GSC-5944	48.1	-69.71	9200	50	balanus hameri	marine	167	93	-1	6.8	0.6	0.6	DionneOcchietti1996
Forestville	radiocarbon	GSC-5945	48.1	-69.71	9170	55	mytilus edulis	marine	167	93	-1	3.2	0.6	0.6	DionneOcchietti1996
Forestville	radiocarbon	BETA-18333	48.1	-69.71	1240	60	wood	terrestrial	0	0	0	3.8	1.6	1.6	Dionne1996
Forestville	radiocarbon	BETA-18334	48.1	-69.71	1160	60	wood	terrestrial	0	0	0	3.9	1.6	1.6	Dionne1996
Forestville	radiocarbon	BETA-24660	48.1	-69.71	1470	70	wood	terrestrial	0	0	0	3.9	1.6	1.6	Dionne1996
Forestville	radiocarbon	BETA-28369	48.1	-69.7	1650	60	wood	terrestrial	0	0	0	4.4	1.6	1.6	Dionne1996
Forestville	radiocarbon	BETA-28370	48.1	-69.7	1370	50	wood	terrestrial	0	0	0	5	1.6	1.6	Dionne1996
Forestville	radiocarbon	BETA-29059	48.1	-69.7	1640	70	mya arenaria	marine	167	93	0	3.9	1.6	1.6	Dionne1996
Forestville	radiocarbon	BETA-36103	48.1	-69.7	1910	60	wood	terrestrial	0	0	0	4.1	1.6	1.6	Dionne1996
Forestville	radiocarbon	BETA-36105	48.1	-69.7	1480	70	wood	terrestrial	0	0	0	4.3	1.6	1.6	Dionne1996
Forestville	radiocarbon	GSC-5313	48.1	-69.7	1950	80	plant fragments (spartina alterniflora>)	terrestrial	0	0	0	3.3	1.5	1.5	Dionne1996
Forestville	radiocarbon	TO-5150	48.1	-69.7	1380	60	wood	terrestrial	0	0	0	5.4	1.6	1.6	Dionne1996
Forestville	radiocarbon	UL-324	48.1	-69.7	2100	50	wood	terrestrial	0	0	0	3.9	1.6	1.6	Dionne1996
Forestville	radiocarbon	UL-462	48.1	-69.7	1220	70	wood	terrestrial	0	0	0	4.5	1.1	1.1	Dionne1996
