GX-6490	44.32	-64.21	7978	561	0	-27	1.5	1.5
GX-11342	44.64	-63.34	3445	386	0	-6.5	1.5	1.5
GX-11344	44.64	-63.34	1353	338	-1	-3.7	1.5	1.5
GX-12249	44.64	-63.34	234	213	-1	-2.5	1.5	1.5
GX-12250	44.64	-63.34	1023	383	-1	-3.9	1.5	1.5
GX-12251	44.64	-63.34	937	442	-1	-4.2	1.5	1.5
GX-19448	44.64	-63.55	8651	616	0	-26.9	1.5	1.5
GX-13974	44.65	-62.95	9799	372	-1	-43.3	1.5	1.5
RIDDL-1077	44.65	-62.95	6314	313	-1	-28.9	1.5	1.5
RIDDL-1078	44.65	-62.95	4089	409	-1	-18.8	1.5	1.5
RIDDL-1079	44.65	-62.95	7446	282	-1	-31.7	2.1	2.1
RIDDL-1080	44.65	-62.95	7536	251	-1	-32.8	2.1	2.1
RIDDL-1081	44.65	-62.95	7932	318	-1	-42	1.5	1.5
RIDDL-1082	44.65	-62.95	12186	400	-1	-44.9	1.5	1.5
GX-13973	44.66	-63.13	10017	1057	1	-19.9	1.5	1.5
BETA-19587	44.68	-63.12	7669	155	-1	-30	1.6	1.6
GX-13972	44.68	-63.12	8298	244	0	-34.5	1.5	1.5
GX-6806	44.69	-63.63	6713	518	0	-21.4	1.1	1.1
GX-8605	44.69	-63.63	8879	1251	1	-21	1.1	1.1
BETA-51312	44.73	-63.26	1180	224	-1	-3.3	0.7	0.7
GX-4652	44.73	-63.26	1924	364	-1	-5	0.7	0.7
TO-3172	44.73	-63.26	188	177	-1	-2.4	0.7	0.7
GX-18454	44.74	-63.26	2836	424	0	-6.2	0.5	0.5
GX-18455	44.74	-63.26	4290	449	0	-11.3	0.5	0.5
GX-18459	44.74	-63.26	4270	499	0	-9.9	0.5	0.5
GX-19314	44.74	-63.26	4312	191	0	-10.3	0.5	0.5
GX-19316	44.74	-63.26	4153	206	0	-9.7	0.5	0.5
GX-4542	44.74	-63.26	11018	670	1	12.5	0.5	0.5
GX-5708	44.74	-63.26	3889	533	0	-8.2	0.6	0.6
GX-18458	44.74	-63.26	1663	263	0	-3.3	0.6	0.6
AA-47203	44.74	-63.26	150	116	0	-0.8	0.4	0.4
AA-47204	44.74	-63.26	433	93	0	-0.9	0.4	0.4
AA-47205	44.74	-63.26	407	85	0	-1	0.4	0.4
AA-47206	44.74	-63.26	414	84	0	-1.1	0.4	0.4
AA-47207	44.74	-63.26	401	83	0	-1.2	0.4	0.4
AA-47208	44.74	-63.26	567	54	0	-1.3	0.4	0.4
AA-47209	44.74	-63.26	578	53	0	-1.4	0.4	0.4
AA-47210	44.74	-63.26	604	52	0	-1.5	0.4	0.4
AA-47211	44.74	-63.26	741	52	0	-1.6	0.4	0.4
AA-47212	44.74	-63.26	801	100	0	-1.7	0.4	0.4
AA-47213	44.74	-63.26	886	77	0	-1.8	0.4	0.4
AA-47214	44.74	-63.26	999	65	0	-1.9	0.4	0.4
AA-47215	44.74	-63.26	1005	61	0	-2	0.4	0.4
AA-47216	44.74	-63.26	410	89	0	-0.9	0.4	0.4
AA-47218	44.74	-63.26	789	97	0	-1.5	0.4	0.4
AA-47219	44.74	-63.26	873	74	0	-1.6	0.5	0.5
AA-47220	44.74	-63.26	885	76	0	-2	0.5	0.5
GSC-2128	44.19	-64.44	4704	126	1	-14	2.1	2.1
