GSC-5420	61.49	-77.5	6727	330	-1	38	2	2
GSC-5312	61.6	-77.3	6658	310	0	73.4	3.9	3.9
GSC-5344	61.73	-77.8	3860	304	0	36.4	3.3	3.3
GSC-5423	61.84	-78	4188	305	-1	26	1.5	1.5
GSC-5353	61.87	-77.1	7369	221	-1	67	2.6	2.6
GX-1069	62	-80	6883	386	-1	81	2.6	2.6
GX-1070	62	-80	6947	387	-1	91	2.6	2.6
GX-1071	62	-80	7694	360	-1	65	2.6	2.6
GSC-5412	62.01	-78	2326	296	0	22.4	3.3	3.3
GSC-5310	62.14	-77.9	7965	256	-1	98	2.6	2.6
GSC-5399	62.18	-78.1	3662	273	0	32.4	3.3	3.3
GSC-5409	62.25	-78	7534	221	-1	75	2.6	2.6
BETA-51804	62.42	-77.9	2634	179	1	37	2	2
AECV-1795C	62.42	-77.9	2571	193	1	23	1.4	1.4
GX-12035	62.45	-77.8	7552	285	-1	28	1.6	1.6
L-702B	62.52	-77.4	7534	363	-1	77.7	2.6	2.6
NPL58	62.52	-77.4	7060	356	-1	82.6	2.6	2.6
GSC-327	62.55	-77.4	7935	372	-1	110	2.6	2.6
N-281	62.55	-77.4	7611	355	-1	47	2.5	2.5
GSC-5410	62.57	-78	7405	215	-1	70	2.6	2.6
GSC-5322	62.58	-78.1	2654	270	0	22.4	3.3	3.3
