GSC-3973	49.71	-54.26	12944	207	1	56	2.8	2.8
GSC-4588	49.64	-55.81	13837	210	1	52	2.6	2.6
GSC-4311	49.62	-56.18	13313	179	-1	13	0.7	0.7
GSC-5527	49.6	-55.93	13105	187	-1	17	0.9	0.9
GSC-5898	49.6	-55.93	13889	219	-1	40	2	2
GSC-87	49.57	-56.2	13518	288	-1	12	0.7	0.7
GSC-5925	49.54	-55.84	13317	199	-1	12	0.7	0.7
GSC-4636	49.53	-55.65	12894	170	1	23.2	1.2	1.2
GSC-5906	49.52	-55.66	10428	205	-1	7.5	0.5	0.5
GSC-5140	49.52	-56.1	12917	176	-1	13	0.7	0.7
GSC-5908	49.49	-55.84	13104	182	-1	14.5	0.7	0.7
TO-2306	49.48	-56.18	12524	384	-1	24	1.2	1.2
GSC-4509	49.44	-53.9	2851	74	1	1.1	0.6	0.6
GSC-4604	49.44	-53.9	159	149	1	2.4	0.6	0.6
BETA-36169	49.43	-53.9	2365	242	1	0.9	0.6	0.6
GSC-4520	49.43	-53.9	3359	100	1	1.1	0.6	0.6
GSC-4592	49.43	-53.9	3169	158	0	-0.6	0.7	0.7
GSC-4662	49.43	-53.9	2670	178	1	-0.1	0.6	0.6
TO-2305	49.42	-56.1	14019	1015	-1	30	1.5	1.5
GSC-1733	49.42	-56.1	13673	317	-1	20	1	1
GSC-5171	49.42	-56.1	13313	179	-1	13	0.7	0.7
BETA-27233	49.34	-53.7	1686	190	1	-0.6	0.6	0.6
T12696	49.34	-53.7	204	185	0	-0.4	0.4	0.4
T14377A	49.34	-53.7	1141	150	0	-0.4	0.4	0.4
T12690	49.34	-53.7	249	233	1	-0.4	0.3	0.3
T12688	49.34	-53.7	1560	135	0	-0.5	0.4	0.4
BETA-27234	49.34	-53.71	1151	145	1	0.7	0.3	0.3
GSC-4327	48.95	-54.72	13571	185	1	80	2.5	2.5
BETA-27231	48.65	-53.73	6282	281	1	-3.3	0.6	0.6
