Region	Dating_Method	LAB_ID	Latitude	Longitude	age	error	Material	Curve	Reservoir_age	Reservoir_error	type	RSL	RSL_2sigma_upper	RSL_2sigma_lower	Reference
Port_Aux_Basques	radiocarbon	GSC-1203	48.68	-58.86	6200	105	hiatella arctica	marine	135	84	-1	-14	1.3	1.3	LowdonEtal1971
Port_Aux_Basques	radiocarbon	GSC-2942	48.65	-58.66	14100	170	marine shell	marine	135	84	-1	40	2	2	LowdonBlake1980
Port_Aux_Basques	radiocarbon	GSC-4292	48.64	-58.65	2110	80	peat	terrestrial	0	0	0	-1.6	0.8	0.8	Blake1988
Port_Aux_Basques	radiocarbon	BETA-36168	48.63	-58.74	4590	180	ericaceous peat	terrestrial	0	0	1	0.5	0.7	0.7	ForbesEtal1993
Port_Aux_Basques	radiocarbon	GSC-4724	48.63	-58.74	9970	75	s. polynyma	marine	135	84	-1	-36.6	1.9	1.9	ForbesEtal1993
Port_Aux_Basques	radiocarbon	BETA-36168	48.63	-58.74	4590	90	ericaceous peat	terrestrial	0	0	1	0.5	1.4	1.4	ForbesEtal1993
Port_Aux_Basques	radiocarbon	GSC-4733	48.63	-58.74	9020	50	peat	terrestrial	0	0	1	0.1	1.4	1.4	ForbesEtal1993
Port_Aux_Basques	radiocarbon	GSC-4243	48.62	-58.97	2840	80	wood	terrestrial	0	0	1	-3.2	0.6	0.6	McNeelyJorgensen1992
Port_Aux_Basques	radiocarbon	TO-8507	48.62	-59.09	12800	121	macoma calcarea	marine	135	84	-1	1.5	0.6	0.6	BellEtal2003
Port_Aux_Basques	radiocarbon	GX-9527	48.6	-58.95	2365	175	peat	terrestrial	0	0	0	-2.5	0.7	0.7	BrookesEtal1985
Port_Aux_Basques	radiocarbon	UQ-646	48.6	-58.95	2770	300	peat	terrestrial	0	0	0	-3.5	0.7	0.7	BrookesEtal1985
Port_Aux_Basques	radiocarbon	T12692	48.6	-58.95	2556	76	peat	terrestrial	0	0	0	-2.4	0.7	0.7	DalyEtal2007
Port_Aux_Basques	radiocarbon	T12689	48.6	-58.95	2590	92	peat	terrestrial	0	0	0	-2.8	0.6	0.6	DalyEtal2007
Port_Aux_Basques	radiocarbon	OS-123524	48.6	-58.94	2490	20	organic sediment	terrestrial	0	0	0	-2.1	0.4	0.4	KempEtal2017
Port_Aux_Basques	radiocarbon	OS-123656	48.6	-58.94	1840	20	organic sediment	terrestrial	0	0	0	-1	0.4	0.4	KempEtal2017
Port_Aux_Basques	radiocarbon	OS-123525	48.6	-58.94	1770	20	organic sediment	terrestrial	0	0	0	-1.3	0.4	0.4	KempEtal2017
Port_Aux_Basques	radiocarbon	TO-8503	48.59	-58.89	12300	130	mya truncata	marine	135	84	-1	12	0.7	0.7	BellEtal2003
Port_Aux_Basques	radiocarbon	TO-8505	48.59	-58.89	11420	139	shells	marine	135	84	-1	4	0.4	0.4	BellEtal2003
Port_Aux_Basques	radiocarbon	TO-6137	48.55	-58.67	14070	112	mya truncata	marine	135	84	-1	37	1.9	1.9	BellEtal2003
Port_Aux_Basques	radiocarbon	GSC-4730	48.54	-58.43	490	70	peat and wood fragments	terrestrial	0	0	1	0.7	0.6	0.6	BellEtal2003
Port_Aux_Basques	radiocarbon	TO-3161_(3170)	48.54	-58.58	640	70	peat	terrestrial	0	0	1	1.1	0.6	0.6	ShawPotter2015
Port_Aux_Basques	radiocarbon	TO-3160	48.54	-58.58	1050	60	peat	terrestrial	0	0	1	1	0.6	0.6	ShawPotter2015
Port_Aux_Basques	radiocarbon	GSC-5942	48.54	-58.62	13000	60	hiatella arctica	marine	135	84	-1	17	1	1	BellEtal2003
Port_Aux_Basques	radiocarbon	TO-6138	48.54	-58.63	13000	103	hiatella arctica and macoma calcarea	marine	135	84	-1	8	0.6	0.6	BellEtal2003
Port_Aux_Basques	radiocarbon	TO-8508	48.52	-58.78	12100	112	shell	marine	135	84	-1	12	0.7	0.7	BellEtal2003
