GSC-1203	48.68	-58.86	6492	185	-1	-14	1.3	1.3
GSC-2942	48.65	-58.66	16363	312	-1	40	2	2
GSC-4292	48.64	-58.65	2213	114	0	-1.6	0.8	0.8
BETA-36168	48.63	-58.74	5513	244	1	0.5	0.7	0.7
GSC-4724	48.63	-58.74	10866	214	-1	-36.6	1.9	1.9
BETA-36168	48.63	-58.74	5425	140	1	0.5	1.4	1.4
GSC-4733	48.63	-58.74	10239	32	1	0.1	1.4	1.4
GSC-4243	48.62	-58.97	3103	133	1	-3.2	0.6	0.6
TO-8507	48.62	-59.09	14513	319	-1	1.5	0.6	0.6
GX-9527	48.6	-58.95	2657	219	0	-2.5	0.7	0.7
UQ-646	48.6	-58.95	3369	438	0	-3.5	0.7	0.7
T12692	48.6	-58.95	2732	111	0	-2.4	0.7	0.7
T12689	48.6	-58.95	2796	129	0	-2.8	0.6	0.6
OS-123524	48.6	-58.94	2657	65	0	-2.1	0.4	0.4
OS-123656	48.6	-58.94	1784	43	0	-1	0.4	0.4
OS-123525	48.6	-58.94	1694	29	0	-1.3	0.4	0.4
TO-8503	48.59	-58.89	13761	231	-1	12	0.7	0.7
TO-8505	48.59	-58.89	12840	199	-1	4	0.4	0.4
TO-6137	48.55	-58.67	16252	239	-1	37	1.9	1.9
GSC-4730	48.54	-58.43	594	59	1	0.7	0.6	0.6
TO-3161_(3170)	48.54	-58.58	671	52	1	1.1	0.6	0.6
TO-3160	48.54	-58.58	1071	103	1	1	0.6	0.6
GSC-5942	48.54	-58.62	14735	228	-1	17	1	1
TO-6138	48.54	-58.63	14776	264	-1	8	0.6	0.6
TO-8508	48.52	-58.78	13499	197	-1	12	0.7	0.7
GSC-4730	48.52	-58.43	574	48	1	0.7	0.4	0.4
GSC-2015	48.52	-58.92	16108	184	-1	40	2	2
BETA-136932	48.51	-59.05	14490	308	-1	16	0.9	0.9
BETA-19571	48.45	-58.51	579	61	0	-0.7	0.8	0.8
WAT-883	48.43	-58.48	10837	253	1	0	2.1	2.1
BETA-19584	48.42	-58.6	655	35	0	-0.9	0.7	0.7
BETA-19585	48.42	-58.6	792	90	0	-1.4	0.7	0.7
BETA-19583	48.42	-58.6	1334	59	1	0.4	0.4	0.4
BETA-19586	48.42	-58.6	438	53	1	1.5	0.4	0.4
TO-7455	48.31	-58.71	16170	247	-1	15	0.8	0.8
GSC-1350	48.26	-58.8	12689	49	1	28	1.4	1.4
GSC-1200	48.26	-58.8	16150	227	-1	32.4	1.6	1.6
GX-9965	48.25	-58.8	14446	1124	1	30	1.5	1.5
TO-7029	48.24	-58.83	15837	221	-1	20	1	1
GSC-5267	47.68	-58.54	12884	117	1	3	0.3	0.3
TO-3174	47.66	-58.4	7339	85	-1	-25.4	1.2	1.2
BETA-150563	47.65	-57.32	6595	64	-1	-23.6	1.2	1.2
GSC-4652	47.63	-59.26	1189	60	0	-0.9	0.7	0.7
GSC-5039	47.62	-59.21	13376	95	1	12	0.7	0.7
GSC-5206	47.55	-56.93	12683	47	1	4	0.3	0.3
GSC-5268	47.61	-57.63	7862	82	1	-15.6	1	1
