Region	Dating_Method	LAB_ID	Latitude	Longitude	age	error	Material	Curve	Reservoir_age	Reservoir_error	type	RSL	RSL_2sigma_upper	RSL_2sigma_lower	Reference
Rimouski	radiocarbon	UQ-808	47.85	-69.54	270	103	wood	terrestrial	0	0	0	1.7	1.5	1.5	Dionne1990
Rimouski	radiocarbon	BETA-25788	47.85	-69.54	5700	90	mya arenaria	marine	203	94	0	3.3	1	1	Dionne1990
Rimouski	radiocarbon	UL-180	47.85	-69.54	6070	103	mya arenaria	marine	203	94	0	3.3	1	1	Dionne1990
Rimouski	radiocarbon	UL-180b	47.85	-69.54	6000	103	mya arenaria	marine	203	94	0	3.3	1	1	Dionne1990
Rimouski	radiocarbon	UL-332	47.85	-69.54	260	94	wood	terrestrial	0	0	0	1.7	1.5	1.5	Dionne1990
Rimouski	radiocarbon	UL-161	47.85	-69.54	270	78	wood	terrestrial	0	0	0	1.4	1.5	1.5	Dionne1990
Rimouski	radiocarbon	BETA-24669	47.85	-69.54	720	75	pelycipodes	marine	203	94	0	3.3	1	1	Dionne1990
Rimouski	radiocarbon	BETA-31078	47.85	-69.54	920	110	pelycipodes	marine	203	94	0	3.3	1	1	Dionne1990
Rimouski	radiocarbon	BETA-31627	47.85	-69.54	710	60	shells	marine	203	94	0	2.2	1.6	1.6	Dionne1990
Rimouski	radiocarbon	GSC-112	47.91	-69.5	6970	50	peat	terrestrial	0	0	1	10	0.6	0.6	DyckFyles1963
Rimouski	radiocarbon	UL-283	47.93	-69.49	3550	86	shells	marine	203	94	0	4.4	3.7	3.7	Dionne1990
Rimouski	radiocarbon	GX-na	48.07	-69.27	785	130	raised beach	terrestrial	0	0	1	2.5	0.6	0.6	VacchiEtal2018
Rimouski	radiocarbon	UL-1246	48.35	-68.8	10820	139	balanus balanoides	marine	161	77	-1	60	1.2	1.2	DionneColl1995
Rimouski	radiocarbon	BETA-27209	48.32	-68.85	9870	90	balanus crenatus	marine	161	77	-1	9	0.9	0.9	Dionne2005
Rimouski	radiocarbon	BETA-47286	48.35	-68.8	12640	90	shells	marine	161	77	-1	140	2.6	2.6	Dionne2005
Rimouski	radiocarbon	GSC-70	48.01	-69.34	10990	61	marine shells	marine	161	77	-1	79	0.9	0.9	Dionne1999
Rimouski	radiocarbon	GSC-69	48.01	-69.34	10080	90	hiatella arctica	marine	161	77	-1	55	0.9	0.9	Dionne1999
Rimouski	radiocarbon	BETA-26499	48.01	-69.34	1410	95	plant remains	terrestrial	0	0	0	2	0.6	0.6	Dionne1999
Rimouski	radiocarbon	UL-1714	48.01	-69.34	650	67	wood	terrestrial	0	0	0	4.5	1.6	1.6	Dionne1999
Rimouski	radiocarbon	UL-285	48.01	-69.34	280	76	wood	terrestrial	0	0	0	-0.1	0.9	0.9	Dionne1999
Rimouski	radiocarbon	UL-604	48.01	-69.34	1050	78	marine shells	marine	161	77	0	1.3	1.6	1.6	Dionne1999
Rimouski	radiocarbon	UL-589	48.01	-69.34	840	50	wood	terrestrial	0	0	0	1.4	1	1	Dionne1999
Rimouski	radiocarbon	UL-2035	48.32	-68.86	7000	121	mya arenaria	marine	161	77	-1	0.7	0.9	0.9	Dionne2001
Rimouski	radiocarbon	UL-539	48.32	-68.86	4130	110	peat	terrestrial	0	0	1	10	0.7	0.7	DionneColl1995
Rimouski	radiocarbon	BETA-28297	48.32	-68.86	10680	90	h. artica, m. balthica	marine	161	77	0	67.9	4.4	4.4	DionneColl1995
Rimouski	radiocarbon	BETA-48532	48.32	-68.85	12640	90	shells	marine	161	77	-1	141	2.6	2.6	Dionne2005
Rimouski	radiocarbon	QU-270	48.32	-68.85	10220	158	macoma calcarea	marine	161	77	-1	45	2.4	2.4	Locat1977
Rimouski	radiocarbon	BETA-58564	48.35	-68.8	11620	158	shells	marine	161	77	-1	135	2.6	2.6	Dionne2005
Rimouski	radiocarbon	UL-1245	48.35	-68.8	10810	139	balanus balanoides	marine	161	77	-1	60	3.1	3.1	DionneColl1995
Rimouski	radiocarbon	UL-1824	48.36	-68.76	6700	94	wood, intertidal sed	terrestrial	0	0	0	1.7	1.7	1.7	Dionne2001
Rimouski	radiocarbon	UL-1914	48.36	-68.76	6410	94	mya arenaria	marine	161	77	0	1.4	1.7	1.7	Dionne2001
Rimouski	radiocarbon	UL-1915	48.36	-68.76	3090	103	mya arenaria	marine	161	77	0	6.2	1.7	1.7	Dionne2001
Rimouski	radiocarbon	UL-1947	48.36	-68.76	2970	103	macoma balthica	marine	161	77	0	6.2	1.7	1.7	Dionne2001
Rimouski	radiocarbon	UL-2017	48.36	-68.76	6450	121	mya arenaria	marine	161	77	0	1.4	1.7	1.7	Dionne2001
Rimouski	radiocarbon	UL-2018	48.36	-68.76	6510	94	mya arenaria	marine	161	77	0	1.4	1.7	1.7	Dionne2001
Rimouski	radiocarbon	UL-2171	48.36	-68.76	6790	121	mya arenaria	marine	161	77	0	1.4	1.7	1.7	Dionne2001
Rimouski	radiocarbon	UL-2185	48.36	-68.76	6920	86	mya arenaria	marine	161	77	0	1.4	1.7	1.7	Dionne2001
Rimouski	radiocarbon	UL-2186	48.36	-68.76	6760	121	mya arenaria	marine	161	77	0	1.4	1.7	1.7	Dionne2001
Rimouski	radiocarbon	UL-2213	48.36	-68.76	6800	94	mya arenaria	marine	161	77	0	1.4	1.7	1.7	Dionne2001
Rimouski	radiocarbon	UL-2214	48.36	-68.76	6850	94	mya arenaria	marine	161	77	0	1.4	1.7	1.7	Dionne2001
Rimouski	radiocarbon	UL-2257	48.36	-68.76	6510	121	mya arenaria	marine	161	77	0	1.4	1.7	1.7	Dionne2001
