Region	Dating_Method	LAB_ID	Latitude	Longitude	age	error	Material	Curve	Reservoir_age	Reservoir_error	type	RSL	RSL_2sigma_upper	RSL_2sigma_lower	Reference
Southern_Maine	radiocarbon	BETA-63124	43.701	-69.824	7490	90	M. edu	marine	90	69	-1	-25.6242	3.0242364738889056	3.0242364738889056	BarnhardtEtal1995
Southern_Maine	radiocarbon	BETA-63125	43.701	-69.824	7310	70	M. edu	marine	90	69	-1	-25.6243	3.024252014961716	3.024252014961716	BarnhardtEtal1995
Southern_Maine	radiocarbon	BETA-69336	44.414	-68.857	8730	70	M. are	marine	90	69	-1	-27.4044	3.0243682332017707	3.0243682332017707	BarnhardtEtal1995
Southern_Maine	radiocarbon	BETA-69337	44.414	-68.857	8730	60	M. are	marine	90	69	-1	-27.4044	3.024413346419434	3.024413346419434	BarnhardtEtal1995
Southern_Maine	radiocarbon	GX-11004	44.119	-68.869	5880	105	M. are	marine	90	69	-1	-11.2454	0.7953772689736613	0.7953772689736613	KelleyEtal1992
Southern_Maine	radiocarbon	GX-11005	44.119	-68.869	5430	100	M. are	marine	90	69	-1	-7.5954	0.7953772689736613	0.7953772689736613	KelleyEtal1992
Southern_Maine	radiocarbon	OS-1860	43.707	-69.794	8710	35	M. bal	marine	90	69	-1	-26.6244	3.0244172992495595	3.0244172992495595	KelleyEtal1992
Southern_Maine	radiocarbon	OS-1862	43.707	-69.794	8610	40	M. bal	marine	90	69	-1	-26.6244	3.0244172992495595	3.0244172992495595	KelleyEtal1992
Southern_Maine	radiocarbon	PITT-0585	43.7	-69.767	9090	95	M. are	marine	90	69	-1	-24.2644	3.0244172992495595	3.0244172992495595	KelleyEtal1992
Southern_Maine	radiocarbon	PITT-0586	43.7	-69.767	9250	110	M. are	marine	90	69	-1	-24.3644	3.0244172992495595	3.0244172992495595	KelleyEtal1992
Southern_Maine	radiocarbon	PITT-0587	43.7	-69.767	7270	105	M. are	marine	90	69	-1	-24.5144	3.0244172992495595	3.0244172992495595	KelleyEtal1992
Southern_Maine	radiocarbon	PiTT-0737	43.717	-70.167	9130	70	M. are	marine	90	69	-1	-24.1147	3.0247479233813848	3.0247479233813848	KelleyEtal1992
Southern_Maine	radiocarbon	PITT-0739	43.533	-70.217	785	35	A. isl	marine	90	69	-1	-54.3144	3.0244172992495595	3.0244172992495595	KelleyEtal1992
Southern_Maine	radiocarbon	PITT-0741	43.533	-70.217	5915	155	H. arc	marine	90	69	-1	-51.5144	3.0244172992495595	3.0244172992495595	KelleyEtal1992
Southern_Maine	radiocarbon	PITT-0744	43.7	-69.767	9000	100	M. are	marine	90	69	-1	-22.6144	3.0244172992495595	3.0244172992495595	KelleyEtal1992
Southern_Maine	radiocarbon	PITT-0745	43.7	-69.767	9630	75	M. are	marine	90	69	-1	-22.71441729924956	3.0244172992495595	3.0244172992495595	KelleyEtal1992
Southern_Maine	radiocarbon	PITT-0746	43.7	-69.767	9700	65	M. mod	marine	90	69	-1	-22.91441729924956	3.0244172992495595	3.0244172992495595	KelleyEtal1992
Southern_Maine	radiocarbon	PITT-0747	43.7	-69.767	9260	100	M. are	marine	90	69	-1	-24.7144	3.0244172992495595	3.0244172992495595	KelleyEtal1992
Southern_Maine	radiocarbon	PITT-0748	43.7	-69.767	8250	80	M. edu	marine	90	69	-1	-22.8644	3.0244172992495595	3.0244172992495595	KelleyEtal1992
Southern_Maine	radiocarbon	PITT-0749	43.7	-69.767	9235	60	M. are	marine	90	69	-1	-23.9144	3.0244172992495595	3.0244172992495595	KelleyEtal1992
