BETA-33217	60.08	-64.5	9968	200	-1	10	0.8	0.8
GSC-3092	60.08	-64.57	8745	182	-1	2	0.8	0.8
L-642	59.71	-64.21	10263	403	-1	29	1.6	1.6
GSC-1560	59.38	-64.12	9164	229	-1	18	1.1	1.1
SI-3897	59.32	-63.73	2669	84	1	1	0.8	0.8
SI-3896	59.32	-63.73	2674	81	1	1	0.8	0.8
SI-3371	59.32	-63.73	1319	63	1	3.2	0.8	0.8
UQ-152	60.42	-64.82	6060	225	1	6.7	0.8	0.8
I-10671	60.42	-64.82	5857	118	1	6.7	0.8	0.8
BETA-1328	59.03	-63.53	3718	203	1	4	0.8	0.8
SI-3375	59.03	-63.53	731	101	1	0	0.8	0.8
GSC-3841	59.02	-63.77	333	142	1	0	0.8	0.8
GSC-3863	59.02	-63.77	314	135	1	0	0.8	0.8
GSC-3123	58.86	-63.35	8767	225	-1	21	1.3	1.3
SI-6327	58.55	-62.78	6640	102	1	15	1	1
GSC-3096	57.99	-63.17	5130	178	-1	4	0.8	0.8
GSC-3368	57.99	-63.2	7392	181	-1	1	0.8	0.8
BETA-7740	58.21	-62.61	4982	246	1	7.8	0.8	0.8
