Region	Dating_Method	LAB_ID	Latitude	Longitude	age	error	Material	Curve	Reservoir_age	Reservoir_error	type	RSL	RSL_2sigma_upper	RSL_2sigma_lower	Reference
Chao_Phraya	radiocarbon	SLCC325	14.725	100.91667	5750	138	wood fragments - conservatively interpreted as terrestrial limiting - paper very unclear	terrestrial	0	0	1	0	0.51	0.51	Somboon1988,SomboonThiramongkol1992
Chao_Phraya	radiocarbon	SLCC324	14	101	6760	148	wood fragments - conservatively interpreted as terrestrial limiting - paper very unclear	terrestrial	0	0	1	1.7	0.51	0.51	Somboon1988,SomboonThiramongkol1992,Sinsakul1992,HortonEtal2005
Chao_Phraya	radiocarbon	SLCC326	14	100.75	6830	143	wood fragments - conservatively interpreted as terrestrial limiting - paper very unclear	terrestrial	0	0	1	2	0.51	0.51	Somboon1988,SomboonThiramongkol1992,Sinsakul1992,HortonEtal2005
Chao_Phraya	radiocarbon	SLCC327	13.91667	100.05	6680	143	wood fragments - conservatively interpreted as terrestrial limiting - paper very unclear	terrestrial	0	0	1	0.6	0.51	0.51	Somboon1988,SomboonThiramongkol1992,Sinsakul1992,HortonEtal2005
Chao_Phraya	radiocarbon	SLCC328	13.75	100.25	5670	138	wood fragments - conservatively interpreted as terrestrial limiting - paper very unclear	terrestrial	0	0	1	2	0.51	0.51	Somboon1988,SomboonThiramongkol1992,Sinsakul1992,HortonEtal2005
Chao_Phraya	radiocarbon	SLCC329	13.75	100	6560	143	wood fragments - conservatively interpreted as terrestrial limiting - paper very unclear	terrestrial	0	0	1	3.5	0.51	0.51	Somboon1988,SomboonThiramongkol1992,Sinsakul1992,HortonEtal2005
Chao_Phraya	radiocarbon	SLCC330	14	100.05	6490	138	wood fragments - conservatively interpreted as terrestrial limiting - paper very unclear	terrestrial	0	0	1	0	0.51	0.51	Somboon1988,SomboonThiramongkol1992,Sinsakul1992,HortonEtal2005
Chao_Phraya	radiocarbon	SLCC331	14	101	7300	48	wood fragments - conservatively interpreted as terrestrial limiting - paper very unclear	terrestrial	0	0	1	11.6	0.51	0.51	Somboon1988,SomboonThiramongkol1992,Sinsakul1992,HortonEtal2005
Chao_Phraya	radiocarbon	SLCC332	14	100.05	7800	48	wood fragments - conservatively interpreted as terrestrial limiting - paper very unclear	terrestrial	0	0	1	-9.57	0.74	0.74	Somboon1988,SomboonThiramongkol1992,Sinsakul1992,HortonEtal2005
Chao_Phraya	radiocarbon	SLCC333	13.05	100.05	4080	143	marine shell	marine	-19	70	-1	3.7	0.51	0.51	Somboon1988,SomboonThiramongkol1992,Sinsakul1992,HortonEtal2005
Chao_Phraya	radiocarbon	SLCC334	13.05	100.05	2660	130	marine shell	marine	-19	70	-1	2.5	0.51	0.51	Somboon1988,SomboonThiramongkol1992,Sinsakul1992,HortonEtal2005
Chao_Phraya	radiocarbon	SLCC335	13.05	100.05	6010	78	marine shell	marine	-19	70	-1	-1	0.51	0.51	Somboon1988,SomboonThiramongkol1992,Sinsakul1992,HortonEtal2005
