Poz-21312	10.67017	105.86083	6402	47	1	-0.97	0.52	0.52
Poz-21311	10.75283	106.01383	6418	49	0	-1.507	0.63	0.63
Poz-21386	10.23967	106.3515	2065	56	1	-0.49	0.52	0.52
Poz-21313	10.67017	105.86083	7016	126	0	-1.686	0.57	0.57
Poz-21507	10.52983	106.38383	4621	126	-1	-2.85	0.52	0.52
Poz-30911	10.67017	105.86083	5483	68	1	-0.42	0.52	0.52
Poz-21508	10.75167	105.711	6437	103	0	-2.444	0.67	0.67
EAL-7546	10.91383	105.74083	6909	76	0	-0.556	0.57	0.57
Poz-30916	10.66217	106.2155	2932	54	0	-1.086	0.57	0.57
Poz-21509	10.75167	105.711	4171	70	1	-1.45	0.52	0.52
Poz-30910	10.67017	105.86083	6427	62	1	-0.2	0.52	0.52
Poz-30915	10.66217	106.2155	6250	37	1	-1.28	0.52	0.52
Poz-35328	10.52617	106.32067	2189	108	1	-2.8	0.52	0.52
Poz-35329	10.52617	106.32067	4218	66	0	-4.564	0.67	0.67
Poz-30912	10.638	106.26417	5807	83	0	-1.146	0.57	0.57
Poz-30913	10.638	106.26417	6652	76	0	-2.756	0.57	0.57
Poz-30917	10.67317	105.896	7361	59	0	-1.884	0.67	0.67
EAL-7547	10.91383	105.74083	7962	55	0	-3.327	0.63	0.63
Poz-31024	10.407	106.3365	4440	123	-1	-3.75	0.52	0.52
Beta-192755	11.48048	105.12012	7761	135	0	-5.814	0.48	0.48
Beta-192756	11.48048	105.12012	9310	146	0	-21.164	0.48	0.48
Beta-192749	11.48048	105.12012	7547	36	0	-1.156	0.31	0.31
Beta-192751	11.48048	105.12012	7996	34	0	-2.356	0.31	0.31
Beta-192752	11.48048	105.12012	7917	46	0	-2.856	0.31	0.31
Beta-192754	11.48048	105.12012	7520	46	0	-5.556	0.31	0.31
Beta-192747	11.48048	105.12012	692	30	1	2.9	0.19	0.19
Beta-192748	11.48048	105.12012	7234	40	0	-0.356	0.31	0.31
Beta-192750	11.48048	105.12012	7424	46	0	-1.556	0.31	0.31
Beta-192753	11.48048	105.12012	8007	30	0	-3.756	0.31	0.31
Beta-204844	11.19245	105.2773	7838	77	0	-3.756	0.31	0.31
Beta-215230	10.9593	105.06022	8522	66	1	-10.8	0.19	0.19
Beta-215231	10.9593	105.06022	8522	66	1	-11.8	0.19	0.19
Beta-215232	10.9593	105.06022	8559	42	1	-12.5	0.19	0.19
Beta-215233	10.9593	105.06022	8746	217	1	-13.6	0.19	0.19
Beta-215234	10.9593	105.06022	8875	112	1	-15.4	0.19	0.19
Beta-204846	11.19245	105.2773	9330	142	1	-4.9	0.19	0.19
Beta-204847	11.19245	105.2773	8379	38	1	-6.5	0.19	0.19
Beta-204848	11.19245	105.2773	9489	113	1	-10.1	0.19	0.19
Beta-204849	11.19245	105.2773	9951	210	1	-12.1	0.19	0.19
Beta-222763	11.19245	105.2773	8134	42	1	-4.8	0.19	0.19
Beta-215236	10.9593	105.06022	9278	117	0	-18.564	0.47	0.47
Beta-215237	10.9593	105.06022	9437	49	0	-19.164	0.47	0.47
Beta-215238	10.9593	105.06022	9621	68	0	-21.164	0.47	0.47
Beta-215241	10.9593	105.06022	10453	74	0	-27.364	0.47	0.47
Beta-215242	10.9593	105.06022	10419	81	0	-27.564	0.47	0.47
Beta-215216	10.9593	105.06022	2155	163	1	-0.2	0.19	0.19
Beta-215217	10.9593	105.06022	4661	168	1	-1.2	0.19	0.19
Beta-215218	10.9593	105.06022	6473	146	1	-2.5	0.19	0.19
Beta-204839	11.19245	105.2773	1348	124	1	1.3	0.19	0.19
Beta-204837	11.19245	105.2773	2149	164	1	3.4	0.19	0.19
Beta-204838	11.19245	105.2773	1367	29	1	2.1	0.19	0.19
Beta-215219	10.9593	105.06022	6446	145	0	-2.856	0.31	0.31
Beta-215220	10.9593	105.06022	7256	58	0	-3.756	0.31	0.31
Beta-215221	10.9593	105.06022	7522	43	0	-4.456	0.31	0.31
Beta-215222	10.9593	105.06022	6729	64	0	-5.156	0.31	0.31
Beta-215223	10.9593	105.06022	7863	63	0	-5.856	0.31	0.31
Beta-215224	10.9593	105.06022	7861	73	0	-6.656	0.31	0.31
Beta-215225	10.9593	105.06022	7939	52	0	-7.256	0.31	0.31
Beta-215226	10.9593	105.06022	7939	52	0	-8.056	0.31	0.31
Beta-215227	10.9593	105.06022	8200	88	0	-8.756	0.31	0.31
Beta-215228	10.9593	105.06022	8345	59	0	-9.456	0.31	0.31
Beta-215229	10.9593	105.06022	8401	38	0	-10.256	0.31	0.31
Beta-222764	10.9593	105.06022	7863	63	0	-8.456	0.31	0.31
Beta-222765	10.9593	105.06022	8325	47	0	-9.756	0.31	0.31
Beta-227201	10.9593	105.06022	7526	44	0	-4.756	0.31	0.31
Beta-227202	10.9593	105.06022	7770	66	0	-5.556	0.31	0.31
Beta-204840	11.19245	105.2773	6303	89	0	-0.056	0.31	0.31
Beta-204841	11.19245	105.2773	7371	58	0	-0.956	0.31	0.31
Beta-204843	11.19245	105.2773	7742	54	0	-2.756	0.31	0.31
Beta-204845	11.19245	105.2773	8210	94	0	-4.756	0.31	0.31
Beta-204842	11.19245	105.2773	7616	46	0	-1.956	0.31	0.31
