Region	Dating_Method	LAB_ID	Latitude	Longitude	age	error	Material	Curve	Reservoir_age	Reservoir_error	type	RSL	RSL_2sigma_upper	RSL_2sigma_lower	Reference
Sunda_Shelf	radiocarbon	KIA-5620	2.31	107.63	11460	55	piece of wood	terrestrial	0	0	0	-70.68	2.5	2.5	HanebuthEtal2000
Sunda_Shelf	radiocarbon	KIA-3113_1	4.16	108.58	12100	70	root-fibres, in situ	terrestrial	0	0	0	-87.15	2.5	2.5	HanebuthEtal2000
Sunda_Shelf	radiocarbon	KIA-3530_1	4.16	108.58	12230	60	macro-fibres	terrestrial	0	0	0	-87.9	2.5	2.5	HanebuthEtal2000
Sunda_Shelf	radiocarbon	KIA-5609_3	3.3	108.79	12290	70	woody branch	terrestrial	0	0	0	-80.34	2.5	2.5	HanebuthEtal2000
Sunda_Shelf	radiocarbon	KIA-5986_1	4.16	108.58	12335	60	piece of wood	terrestrial	0	0	0	-87.1	2.5	2.5	HanebuthEtal2000
Sunda_Shelf	radiocarbon	KIA-5608_1	3.3	108.79	12360	70	macro-fibres	terrestrial	0	0	0	-80.31	2.5	2.5	HanebuthEtal2000
Sunda_Shelf	radiocarbon	KIA-5605_1	4.36	108.65	12370	55	piece of wood	terrestrial	0	0	0	-95.77	2.5	2.5	HanebuthEtal2000
Sunda_Shelf	radiocarbon	KIA-5610_1	3.47	108.69	12415	55	piece of root, in situ	terrestrial	0	0	0	-84.78	2.5	2.5	HanebuthEtal2000
Sunda_Shelf	radiocarbon	KIA-5606	4.36	108.65	12410	110	piece of wood	terrestrial	0	0	0	-95.77	2.5	2.5	HanebuthEtal2000
Sunda_Shelf	radiocarbon	KIA-3527_1	4.36	108.65	12440	70	macro-fibres	terrestrial	0	0	0	-91.61	2.5	2.5	HanebuthEtal2000
Sunda_Shelf	radiocarbon	KIA-3112_1	4.36	108.65	12440	80	root-fibres, in situ	terrestrial	0	0	0	-95.28	2.5	2.5	HanebuthEtal2000
Sunda_Shelf	radiocarbon	KIA-5610_3	3.47	108.69	12440	80	macro-fibres	terrestrial	0	0	0	-84.78	2.5	2.5	HanebuthEtal2000
Sunda_Shelf	radiocarbon	KIA-2568_1	4.36	108.65	12450	100	macro-fibres	terrestrial	0	0	0	-93.23	2.5	2.5	HanebuthEtal2000
Sunda_Shelf	radiocarbon	KIA-2570_1	4.36	108.65	12470	60	piece of wood	terrestrial	0	0	0	-95.31	2.5	2.5	HanebuthEtal2000
Sunda_Shelf	radiocarbon	KIA-5981_1	4.36	108.65	12510	55	piece of wood	terrestrial	0	0	0	-96.31	2.5	2.5	HanebuthEtal2000
Sunda_Shelf	radiocarbon	KIA-2569_1	4.36	108.65	12560	100	macro-fibres	terrestrial	0	0	0	-95.15	2.5	2.5	HanebuthEtal2000
Sunda_Shelf	radiocarbon	KIA-3111_1	4.36	108.65	12580	60	piece of wood	terrestrial	0	0	0	-95.04	2.5	2.5	HanebuthEtal2000
Sunda_Shelf	radiocarbon	KIA-2567_1	4.36	108.65	12650	60	macro-fibres	terrestrial	0	0	0	-93.06	2.5	2.5	HanebuthEtal2000
Sunda_Shelf	radiocarbon	KIA-5604_1	4.53	108.83	12765	60	piece of wood	terrestrial	0	0	-1	-104.85	2.5	2.5	HanebuthEtal2000
Sunda_Shelf	radiocarbon	KIA-4178	3.54	108.54	13260	120	piece of wood, conv. 14C	terrestrial	0	0	0	-104.9	2.5	2.5	HanebuthEtal2000
Sunda_Shelf	radiocarbon	KIA-3535	3.63	108.53	13570	60	macro-fibres	terrestrial	0	0	0	-105.16	2.5	2.5	HanebuthEtal2000
