T-214	68.66666666666667	16.75	13723	694	-1.0	30.5	1.3	1.2954687276402823	Marthinussen1962,CreelEtal2022
T-269	68.66666666666667	16.75	13723	694	-1.0	69.0	1.32	1.320696492118432	Nydal1962,CreelEtal2022
T-5655	68.679	16.78	4032	306	1.0	15.32	1.21	1.2070478897029773	Moller1987,CreelEtal2022
T-316	68.66666666666667	16.75	13723	694	-1.0	73.3	1.33	1.3345547850477821	Marthinussen1962,CreelEtal2022
T-378B	68.66666666666667	16.75	12791	478	-1.0	72.8	3.17	3.167051345383262	NydalEtal1964,CreelEtal2022
T-379	68.66666666666667	16.75	12731	477	-1.0	73.5	3.17	3.167051345383262	NydalEtal1964,CreelEtal2022
T-490	68.66666666666667	16.75	13728	638	-1.0	74.0	3.17	3.167051345383262	Andersen1968,NydalEtal1970,CreelEtal2022
Poz-108993	68.5845	16.69	10972	196	1.0	72.39	0.33	0.33456863514629565	Lid2019,CreelEtal2022
Poz-108993	68.5363	16.78	10976	193	1.0	73.4	5.01	5.011160220096189	Billah2020,CreelEtal2022
Poz-109217	68.52	16.72	9508	41	0.0	38.94	1.19	1.1852212974969234	Lid2019,CreelEtal2022
T-512	68.66666666666667	17.75	10359	525	-1.0	27.5	3.17	3.1677103180624147	Andersen1968,NydalEtal1970,CreelEtal2022
Poz-119833	68.5118	16.73	6343	58	0.0	23.79	1.2	1.2041991658868105	Billah2020,CreelEtal2022
Poz-119832	68.5118	16.73	6072	121	0.0	23.79	1.2	1.2041991658868105	Billah2020,CreelEtal2022
T-5654	68.7959	17.72	6555	303	1.0	10.47	1.18	1.1817968704255681	Moller1987,CreelEtal2022
