Ki-1709.011	54.4	10.92	7880	293	-1.0	-15.5	0.7071067811865476	0.7071067811865476	WinnEtal1986,RosentauEtal2021
Ki-718	54.32	10.65	4554	258	1.0	-1.85	0.5099019513592785	0.5099019513592785	Ernst1974,RosentauEtal2021
Ki-717	54.32	10.65	6926	236	1.0	-3.6	0.5099019513592785	0.5099019513592785	Ernst1974,RosentauEtal2021
Ki-716	54.32	10.65	4807	153	1.0	-2.35	0.5099019513592785	0.5099019513592785	Ernst1974,RosentauEtal2021
AAR-2280	54.65	10.86	7575	222	-1.0	-29.4	1.118033988749895	1.118033988749895	BennikeJensen1998,RosentauEtal2021
Ki-380(3)	54.53	10.68	8573	347	1.0	-27.3	0.7071067811865476	0.7071067811865476	WinnEtal1986,RosentauEtal2021
AAR-2281	54.57	11.07	7609	298	-1.0	-19.9	1.118033988749895	1.118033988749895	BennikeJensen1998,RosentauEtal2021
Ki-621.094	54.78	10.02	9034	355	1.0	-30.8	0.7071067811865476	0.7071067811865476	WinnEtal1986,RosentauEtal2021
Ki-619.18	54.79	10.03	11847	547	1.0	-35.1	0.7071067811865476	0.7071067811865476	WinnEtal1986,RosentauEtal2021
Ki-1106.113	54.67	10.33	7603	253	1.0	-25.3	0.7071067811865476	0.7071067811865476	WinnEtal1986,RosentauEtal2021
Hel-388	54.32	10.65	6765	454	1.0	-4.2	0.5099019513592785	0.5099019513592785	Ernst1974,RosentauEtal2021
Hel-389	54.32	10.65	1404	203	1.0	-0.51	0.5099019513592785	0.5099019513592785	Ernst1974,RosentauEtal2021
Ki-1194.01	54.54	10.05	9502	785	1.0	-18.8	0.7071067811865476	0.7071067811865476	WinnEtal1986,RosentauEtal2021
Ki-1195.01	54.54	10.05	9290	1122	-1.0	-21.4	0.7071067811865476	0.7071067811865476	WinnEtal1986,RosentauEtal2021
Ki-1196.01	54.54	10.05	9079	389	1.0	-19.4	0.7071067811865476	0.7071067811865476	WinnEtal1986,RosentauEtal2021
Ki-1315.04	54.68	10.17	8732	270	1.0	-30.3	0.7071067811865476	0.7071067811865476	WinnEtal1986,RosentauEtal2021
Ki-1330.03	54.5	10.07	7026	270	-1.0	-23.1	0.7071067811865476	0.7071067811865476	WinnEtal1986,RosentauEtal2021
Ki-1330.04	54.5	10.07	9494	310	1.0	-23.6	0.7071067811865476	0.7071067811865476	WinnEtal1986,RosentauEtal2021
Ki-1706.01	54.4	10.98	7875	296	1.0	-13.8	0.7071067811865476	0.7071067811865476	WinnEtal1986,RosentauEtal2021
Ki-1707.01	54.41	10.94	9315	210	1.0	-14.0	0.7071067811865476	0.7071067811865476	WinnEtal1986,RosentauEtal2021
Hel-386	54.32	10.65	5099	451	1.0	-2.35	0.5099019513592785	0.5099019513592785	Ernst1974,RosentauEtal2021
Ki-1779.01	54.36	10.15	8860	344	1.0	-16.3	0.7071067811865476	0.7071067811865476	WinnEtal1986,RosentauEtal2021
AAR-2282	54.57	11.07	7598	248	-1.0	-20.6	1.118033988749895	1.118033988749895	BennikeJensen1998,RosentauEtal2021
Ki-846.04	54.53	10.05	7193	963	-1.0	-18.6	0.7071067811865476	0.7071067811865476	WinnEtal1986,RosentauEtal2021
AAR-1554	54.6	11.19	10751	426	-1.0	-29.0	1.118033988749895	1.118033988749895	BennikeJensen1998,RosentauEtal2021
Ki-381	54.57	10.1	13779	245	1.0	-31.1	0.7071067811865476	0.7071067811865476	WinnEtal1986,RosentauEtal2021
Ki-207	54.7	10.16	10751	321	1.0	-31.3	0.7071067811865476	0.7071067811865476	WinnEtal1986,RosentauEtal2021
Ki-209	54.5	10.07	9101	291	1.0	-19.8	0.7071067811865476	0.7071067811865476	WinnEtal1986,RosentauEtal2021
